Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Tradename,Packaging
78-SUG80050E-GE3,SUG80050E-GE3,Vishay Semiconductors,https://www.vishay.com/doc?75186,912  In Stock,"=""4,79 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/Vishay-Semiconductors/SUG80050E-GE3?qs=AQlKX63v8Rv39zex8%252B9qiw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SUG80050E-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""100 A""",4.5 mOhms,"- 20 V, + 20 V",2 V,165 nC,- 55 C,+ 175 C,500 W,Enhancement,,Tube
747-IXFR180N15P,IXFR180N15P,IXYS,https://eu.mouser.com/datasheet/2/240/media-3320861.pdf,Non-Stocked Lead-Time 39 Weeks,"=""12,43 €""",RoHS Compliant,,https://eu.mouser.com/ProductDetail/IXYS/IXFR180N15P?qs=t7yjd2JO%2FgQtJRMkLkGSzQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFR180N15P&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""100 A""",13 mOhms,"- 20 V, + 20 V",5 V,240 nC,- 55 C,+ 175 C,300 W,Enhancement,HiPerFET,Tube
