Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Tradename,Packaging
747-IXTH240N15X4,IXTH240N15X4,IXYS,https://www.mouser.lu/datasheet/3/100/1/Littelfuse-Discrete-MOSFETs-N-Channel-Ultra-Junction-IXT-240N15X4-Datasheet.PDF,250  In Stock,"=""11,85 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/IXYS/IXTH240N15X4?qs=T3oQrply3y%252BbuTinOhn9MQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH240N15X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""240 A""",4.4 mOhms,"- 20 V, + 20 V",4.5 V,195 nC,- 55 C,+ 175 C,940 W,Enhancement,HiPerFET,Tube
747-IXFH120N15P,IXFH120N15P,IXYS,https://www.mouser.lu/datasheet/3/100/1/Littelfuse-Discrete-MOSFETs-N-Channel-HiPerFETs-IXF-120N15P-Datasheet.PDF,390  In Stock,"=""9,07 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/IXYS/IXFH120N15P?qs=t7yjd2JO%2FgTPpgQHmLlxcQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH120N15P&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""120 A""",16 mOhms,"- 20 V, + 20 V",3 V,150 nC,- 55 C,+ 175 C,600 W,Enhancement,HiPerFET,Tube
747-IXFH160N15T2,IXFH160N15T2,IXYS,https://www.mouser.lu/datasheet/3/100/1/Littelfuse-Discrete-MOSFETs-N-Channel-Trench-Gate-IXFH160N15T2-Datasheet.PDF,260  In Stock,"=""7,59 €""",RoHS Compliant By Exemption,,https://www.mouser.lu/ProductDetail/IXYS/IXFH160N15T2?qs=TooEEMgOWu6uktpjFkgS2A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH160N15T2&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""160 A""",9 mOhms,"- 20 V, + 20 V",4.5 V,253 nC,- 55 C,+ 175 C,880 W,Enhancement,HiPerFET,Tube
512-FDH055N15A,FDH055N15A,onsemi / Fairchild,https://www.mouser.lu/datasheet/3/101/1/FDH055N15A-D.PDF,5.564  In Stock,"=""5,65 €""",RoHS Compliant By Exemption,,https://www.mouser.lu/ProductDetail/onsemi-Fairchild/FDH055N15A?qs=r2Ui%2FjbkGg%2FwTUHq7txgCw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FDH055N15A&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""167 A""",4.8 mOhms,"- 20 V, + 20 V",4 V,92 nC,- 55 C,+ 175 C,429 W,Enhancement,PowerTrench,Tube
78-SUG80050E-GE3,SUG80050E-GE3,Vishay Semiconductors,https://www.vishay.com/doc?75186,950  In Stock,"=""4,67 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/Vishay-Semiconductors/SUG80050E-GE3?qs=AQlKX63v8Rv39zex8%252B9qiw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SUG80050E-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""100 A""",4.5 mOhms,"- 20 V, + 20 V",2 V,165 nC,- 55 C,+ 175 C,500 W,Enhancement,,Tube
726-IRF150P221AKMA1,IRF150P221AKMA1,Infineon Technologies,https://www.mouser.lu/datasheet/3/70/1/Infineon-IRF150P221-DataSheet-v02_02-EN.pdf,1.679  In Stock,"=""5,89 €""",,,https://www.mouser.lu/ProductDetail/Infineon-Technologies/IRF150P221AKMA1?qs=iLbezkQI%252BsgFvQ9qK7vaNg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IRF150P221AKMA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""186 A""",4.5 mOhms,"- 20 V, + 20 V",4.6 V,80 nC,- 55 C,+ 175 C,341 W,Enhancement,,Tube
747-IXFH150N15P,IXFH150N15P,IXYS,https://www.mouser.lu/datasheet/3/100/1/Littelfuse-Discrete-MOSFETs-N-Channel-HiPerFETs-IXFH150N15P-Datasheet.PDF,45  In Stock,"=""10,65 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/IXYS/IXFH150N15P?qs=t7yjd2JO%2FgQlVeyiY9jViQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH150N15P&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""150 A""",13 mOhms,"- 20 V, + 20 V",5 V,190 nC,- 55 C,+ 175 C,714 W,Enhancement,HiPerFET,Tube
