,time,CH2,CH3
0,-2.928e-07,-0.0028281250000000003,0.0007937500000000001
1,-2.9259999999999996e-07,-0.002834375,0.001184375
2,-2.924e-07,-0.0026750000000000003,0.0004
3,-2.922e-07,-0.001684375,0.0007968750000000001
4,-2.9199999999999997e-07,-0.0037,-0.00043437500000000003
5,-2.9179999999999995e-07,-0.0032031250000000002,-0.000403125
6,-2.916e-07,-0.003590625,0.00034375000000000003
7,-2.914e-07,-0.0027812500000000003,-0.00138125
8,-2.9119999999999996e-07,-0.00325625,-0.001146875
9,-2.91e-07,-0.003196875,-0.00040625000000000004
10,-2.908e-07,-0.0023875000000000003,-0.0007937500000000001
11,-2.9059999999999997e-07,-0.00284375,-0.00045000000000000004
12,-2.9039999999999995e-07,-0.002759375,-0.0011625000000000001
13,-2.902e-07,-0.0024000000000000002,0.0
14,-2.9e-07,-0.002890625,-0.0011937500000000001
15,-2.8979999999999996e-07,-0.0032343750000000003,0.0004375
16,-2.896e-07,-0.0016406250000000002,-1.8750000000000002e-05
17,-2.894e-07,-0.00319375,0.0004375
18,-2.8919999999999997e-07,-0.00150625,0.000421875
19,-2.8899999999999995e-07,-0.002940625,0.0007781250000000001
20,-2.888e-07,-0.003090625,-0.000465625
21,-2.886e-07,-0.0024031250000000003,-0.0007375
22,-2.8839999999999996e-07,-0.0027031250000000002,-6.25e-05
23,-2.882e-07,-0.002059375,-0.001184375
24,-2.88e-07,-0.0040875,0.00048750000000000003
25,-2.8779999999999997e-07,-0.0027656250000000003,-3.125e-05
26,-2.8759999999999995e-07,-0.002696875,-2.1875e-05
27,-2.874e-07,-0.0020375000000000002,3.7500000000000003e-05
28,-2.872e-07,-0.003171875,0.0011875
29,-2.8699999999999996e-07,-0.001990625,-5e-05
30,-2.868e-07,-0.0033562500000000003,0.00041875
31,-2.866e-07,-0.003171875,-1.25e-05
32,-2.8639999999999997e-07,-0.0033,-6.25e-06
33,-2.8619999999999996e-07,-0.0035843750000000003,0.00038125
34,-2.86e-07,-0.00276875,8.125000000000001e-05
35,-2.858e-07,-0.003225,-0.0008
