CH1,CH2,CH3,CH4,time,Ts
97.0,-0.4,-0.00024000000000000003,-5.2,0.0,2e-08
97.0,-0.36,-0.00028000000000000003,-4.6000000000000005,2e-08,
97.0,-0.38,-0.0002,-5.0,4e-08,
99.0,-0.38,-0.0002,-4.2,6.000000000000001e-08,
95.0,-0.36,-0.00012000000000000002,-4.0,8e-08,
99.0,-0.34,-0.00024000000000000003,-4.4,1e-07,
97.0,-0.38,-0.0002,-3.6,1.2000000000000002e-07,
99.0,-0.46,-0.00012000000000000002,-4.0,1.4e-07,
98.0,-0.36,-0.00016,-3.8000000000000003,1.6e-07,
97.0,-0.4,-0.00012000000000000002,-4.0,1.8e-07,
96.0,-0.36,-0.0002,-4.2,2e-07,
99.0,-0.36,-0.00016,-4.4,2.2e-07,
97.0,-0.38,-0.00016,-4.4,2.4000000000000003e-07,
100.0,-0.38,-0.00016,-4.4,2.6e-07,
96.0,-0.46,-0.00012000000000000002,-4.4,2.8e-07,
99.0,-0.46,-0.00028000000000000003,-3.2,3e-07,
100.0,-0.4,-0.00012000000000000002,-3.6,3.2e-07,
98.0,-0.42,-4e-05,-4.800000000000001,3.4000000000000003e-07,
95.0,-0.38,-0.00016,-3.6,3.6e-07,
99.0,-0.36,-0.0002,-4.2,3.8e-07,
96.0,-0.42,-0.00016,-4.6000000000000005,4e-07,
95.0,-0.36,-0.00012000000000000002,-4.2,4.2e-07,
94.0,-0.32,-0.00024000000000000003,-4.2,4.4e-07,
97.0,-0.38,-0.00024000000000000003,-4.4,4.6e-07,
96.0,-0.26,-0.0002,-3.6,4.800000000000001e-07,
96.0,-0.32,-8e-05,-3.8000000000000003,5e-07,
96.0,-0.28,-0.0002,-3.6,5.2e-07,
95.0,-0.46,-8e-05,-3.2,5.4e-07,
97.0,-0.34,-0.00012000000000000002,-3.8000000000000003,5.6e-07,
97.0,-0.32,-0.00028000000000000003,-4.0,5.800000000000001e-07,
99.0,-0.38,-0.0002,-4.4,6e-07,
98.0,-0.34,-0.00016,-3.2,6.2e-07,
95.0,-0.36,-0.00012000000000000002,-3.6,6.4e-07,
97.0,-0.38,-0.00012000000000000002,-3.8000000000000003,6.6e-07,
97.0,-0.4,-0.00012000000000000002,-4.2,6.800000000000001e-07,
100.0,-0.44,-0.0002,-4.0,7e-07,
98.0,-0.34,-0.0002,-4.2,7.2e-07,
99.0,-0.36,-0.0002,-4.4,7.4e-07,
100.0,-0.36,-0.00016,-3.4000000000000004,7.6e-07,
96.0,-0.36,-0.00024000000000000003,-4.0,7.8e-07,
99.0,-0.4,-4e-05,-4.800000000000001,8e-07,
97.0,-0.44,-4e-05,-4.0,8.2e-07,
99.0,-0.4,-0.00032,-3.6,8.4e-07,
98.0,-0.36,-8e-05,-3.6,8.6e-07,
99.0,-0.38,-0.00024000000000000003,-3.8000000000000003,8.8e-07,
101.0,-0.4,-4e-05,-4.2,9.000000000000001e-07,
96.0,-0.32,-8e-05,-4.6000000000000005,9.2e-07,
99.0,-0.42,-0.0002,-4.800000000000001,9.4e-07,
100.0,-0.36,-0.0002,-4.2,9.600000000000001e-07,
99.0,-0.36,-4e-05,-4.0,9.8e-07,
96.0,-0.4,-8e-05,-4.4,1e-06,
97.0,-0.36,-8e-05,-3.4000000000000004,1.02e-06,
96.0,-0.36,-0.00012000000000000002,-4.0,1.04e-06,
98.0,-0.46,0.00012000000000000002,-4.2,1.06e-06,
96.0,-0.44,-8e-05,-3.8000000000000003,1.08e-06,
97.0,-0.42,-0.00016,-3.8000000000000003,1.1e-06,
96.0,-0.46,-0.00024000000000000003,-3.6,1.12e-06,
98.0,-0.34,-0.00016,-4.2,1.14e-06,
98.0,-0.38,-0.00016,-4.800000000000001,1.1600000000000001e-06,
97.0,-0.42,-4e-05,-4.2,1.18e-06,
98.0,-0.3,-0.00024000000000000003,-4.0,1.2e-06,
99.0,-0.36,-0.00012000000000000002,-3.8000000000000003,1.22e-06,
98.0,-0.34,-8e-05,-4.0,1.24e-06,
97.0,-0.4,-0.00024000000000000003,-4.2,1.26e-06,
96.0,-0.4,-0.00016,-4.4,1.28e-06,
97.0,-0.44,-8e-05,-4.2,1.3e-06,
98.0,-0.34,-0.00016,-4.0,1.32e-06,
99.0,-0.3,-0.00012000000000000002,-4.800000000000001,1.34e-06,
95.0,-0.32,-4e-05,-4.4,1.3600000000000001e-06,
97.0,-0.32,0.0,-4.4,1.3800000000000001e-06,
98.0,-0.4,-4e-05,-4.0,1.4e-06,
97.0,-0.36,-4e-05,-4.6000000000000005,1.42e-06,
98.0,-0.42,-0.00012000000000000002,-3.6,1.44e-06,
98.0,-0.36,-0.0002,-4.800000000000001,1.46e-06,
96.0,-0.36,-0.00016,-3.6,1.48e-06,
99.0,-0.34,-0.00024000000000000003,-3.8000000000000003,1.5e-06,
97.0,-0.38,-0.0002,-5.4,1.52e-06,
99.0,-0.38,-4e-05,-4.800000000000001,1.54e-06,
98.0,-0.32,-8e-05,-4.6000000000000005,1.56e-06,
97.0,-0.36,-0.00016,-4.2,1.5800000000000001e-06,
99.0,-0.4,-0.00016,-4.6000000000000005,1.6e-06,
97.0,-0.4,-8e-05,-4.6000000000000005,1.62e-06,
95.0,-0.38,-0.00016,-3.8000000000000003,1.64e-06,
97.0,-0.36,-0.00012000000000000002,-4.2,1.66e-06,
97.0,-0.36,-0.00024000000000000003,-3.6,1.68e-06,
97.0,-0.36,-0.0002,-3.8000000000000003,1.7e-06,
96.0,-0.36,-0.00016,-4.4,1.72e-06,
96.0,-0.36,-0.0002,-4.2,1.74e-06,
98.0,-0.32,-0.00016,-3.6,1.76e-06,
94.0,-0.38,-8e-05,-4.6000000000000005,1.7800000000000001e-06,
98.0,-0.34,-0.00024000000000000003,-4.0,1.8000000000000001e-06,
97.0,-0.32,-8e-05,-4.2,1.82e-06,
97.0,-0.38,-0.00016,-3.6,1.84e-06,
101.0,-0.4,-0.00024000000000000003,-3.4000000000000004,1.86e-06,
97.0,-0.38,-0.00016,-4.800000000000001,1.88e-06,
99.0,-0.3,-0.00028000000000000003,-3.4000000000000004,1.9e-06,
98.0,-0.38,-0.00016,-4.2,1.9200000000000003e-06,
99.0,-0.36,-0.00024000000000000003,-3.4000000000000004,1.94e-06,
101.0,-0.4,-0.00016,-3.8000000000000003,1.96e-06,
95.0,-0.34,-0.00016,-4.2,1.98e-06,
96.0,-0.36,-0.00016,-4.0,2e-06,
97.0,-0.4,-0.00016,-3.4000000000000004,2.02e-06,
96.0,-0.38,-8e-05,-4.6000000000000005,2.04e-06,
