CH1,CH2,CH3,CH4,time,Ts
-2.0,-0.1,-0.0026000000000000003,-3.2,0.0,1e-08
-1.0,-0.30000000000000004,-0.0026000000000000003,-4.4,1e-08,
-1.0,-0.30000000000000004,-0.0034000000000000002,-3.6,2e-08,
-3.0,-0.1,-0.0028,-5.2,3.0000000000000004e-08,
0.0,-0.1,-0.0032,-3.6,4e-08,
-3.0,0.0,-0.0028,-4.800000000000001,5e-08,
-4.0,-0.30000000000000004,-0.0028,-4.0,6.000000000000001e-08,
-1.0,-0.2,-0.0024000000000000002,-4.800000000000001,7e-08,
-1.0,-0.5,-0.0032,-4.0,8e-08,
1.0,-0.30000000000000004,-0.0034000000000000002,-4.4,9e-08,
-5.0,0.0,-0.0028,-3.2,1e-07,
2.0,-0.30000000000000004,-0.0034000000000000002,-4.800000000000001,1.1e-07,
0.0,-0.4,-0.0036000000000000003,-4.4,1.2000000000000002e-07,
-2.0,-0.1,-0.0032,-2.8000000000000003,1.3e-07,
-3.0,-0.2,-0.0036000000000000003,-4.0,1.4e-07,
-4.0,0.2,-0.0032,-4.800000000000001,1.5e-07,
1.0,-0.2,-0.0028,-2.8000000000000003,1.6e-07,
-2.0,-0.4,-0.003,-3.6,1.7000000000000001e-07,
-1.0,-0.5,-0.003,-4.0,1.8e-07,
-3.0,-0.2,-0.0032,-4.0,1.9e-07,
-3.0,-0.1,-0.003,-4.0,2e-07,
-1.0,-0.1,-0.0034000000000000002,-4.4,2.1e-07,
3.0,-0.5,-0.003,-3.2,2.2e-07,
-4.0,-0.4,-0.0032,-4.800000000000001,2.3e-07,
0.0,-0.2,-0.0032,-4.4,2.4000000000000003e-07,
-4.0,-0.4,-0.0032,-2.8000000000000003,2.5e-07,
1.0,-0.1,-0.0028,-3.6,2.6e-07,
-2.0,-0.4,-0.0034000000000000002,-3.6,2.7e-07,
1.0,-0.1,-0.0026000000000000003,-4.0,2.8e-07,
1.0,0.0,-0.0034000000000000002,-2.8000000000000003,2.9000000000000003e-07,
2.0,-0.2,-0.003,-4.800000000000001,3e-07,
4.0,-0.30000000000000004,-0.0032,-3.6,3.1e-07,
-2.0,-0.30000000000000004,-0.003,-4.0,3.2e-07,
0.0,-0.30000000000000004,-0.0032,-3.6,3.3e-07,
-4.0,-0.1,-0.003,-4.0,3.4000000000000003e-07,
-1.0,-0.30000000000000004,-0.0026000000000000003,-4.0,3.5e-07,
-2.0,-0.5,-0.0028,-4.0,3.6e-07,
-1.0,0.0,-0.0034000000000000002,-5.6000000000000005,3.7e-07,
-1.0,-0.1,-0.0036000000000000003,-5.6000000000000005,3.8e-07,
1.0,0.1,-0.0038,-3.6,3.9e-07,
-1.0,-0.4,-0.0032,-2.8000000000000003,4e-07,
-1.0,-0.4,-0.0026000000000000003,-4.4,4.1e-07,
-4.0,-0.4,-0.0032,-3.6,4.2e-07,
1.0,-0.30000000000000004,-0.0024000000000000002,-3.6,4.3e-07,
-1.0,-0.1,-0.003,-3.2,4.4e-07,
-2.0,-0.1,-0.0028,-3.2,4.5000000000000003e-07,
-1.0,-0.30000000000000004,-0.0026000000000000003,-4.4,4.6e-07,
-1.0,-0.5,-0.003,-4.4,4.7e-07,
-2.0,0.0,-0.003,-3.2,4.800000000000001e-07,
-1.0,-0.2,-0.0028,-2.8000000000000003,4.9e-07,
-1.0,-0.2,-0.003,-3.6,5e-07,
-1.0,-0.30000000000000004,-0.0028,-5.2,5.1e-07,
0.0,-0.1,-0.0028,-4.4,5.2e-07,
0.0,-0.2,-0.0028,-4.0,5.3e-07,
-1.0,-0.5,-0.003,-3.2,5.4e-07,
2.0,-0.1,-0.0032,-3.6,5.5e-07,
0.0,0.0,-0.003,-3.6,5.6e-07,
1.0,-0.30000000000000004,-0.0028,-3.6,5.7e-07,
1.0,0.2,-0.003,-4.800000000000001,5.800000000000001e-07,
2.0,-0.5,-0.0026000000000000003,-4.0,5.9e-07,
-3.0,-0.2,-0.0028,-3.6,6e-07,
-3.0,-0.1,-0.0028,-4.800000000000001,6.1e-07,
-2.0,-0.1,-0.003,-4.0,6.2e-07,
0.0,-0.5,-0.0026000000000000003,-5.2,6.3e-07,
-2.0,-0.30000000000000004,-0.0028,-4.4,6.4e-07,
-1.0,-0.5,-0.0032,-4.800000000000001,6.5e-07,
2.0,-0.4,-0.003,-4.800000000000001,6.6e-07,
1.0,-0.30000000000000004,-0.0028,-4.4,6.7e-07,
2.0,-0.1,-0.0034000000000000002,-4.4,6.800000000000001e-07,
-2.0,-0.30000000000000004,-0.003,-3.2,6.900000000000001e-07,
-2.0,-0.5,-0.0028,-5.2,7e-07,
-1.0,-0.6000000000000001,-0.0034000000000000002,-4.800000000000001,7.1e-07,
1.0,-0.30000000000000004,-0.0032,-2.8000000000000003,7.2e-07,
3.0,-0.4,-0.0028,-4.0,7.3e-07,
-1.0,-0.1,-0.0024000000000000002,-3.2,7.4e-07,
-3.0,-0.1,-0.003,-3.6,7.5e-07,
-1.0,-0.2,-0.003,-5.2,7.6e-07,
-2.0,-0.5,-0.003,-4.4,7.7e-07,
-1.0,-0.2,-0.0032,-4.4,7.8e-07,
-1.0,0.0,-0.0026000000000000003,-3.2,7.900000000000001e-07,
1.0,-0.4,-0.0024000000000000002,-4.4,8e-07,
3.0,-0.5,-0.003,-2.4000000000000004,8.1e-07,
-2.0,-0.30000000000000004,-0.003,-3.6,8.2e-07,
0.0,-0.4,-0.0026000000000000003,-4.0,8.3e-07,
1.0,-0.30000000000000004,-0.0032,-2.8000000000000003,8.4e-07,
0.0,0.0,-0.003,-4.800000000000001,8.5e-07,
1.0,-0.5,-0.0022,-4.4,8.6e-07,
1.0,-0.30000000000000004,-0.0028,-3.2,8.7e-07,
-1.0,-0.5,-0.003,-4.0,8.8e-07,
0.0,-0.4,-0.0032,-3.6,8.900000000000001e-07,
2.0,-0.5,-0.0032,-2.4000000000000004,9.000000000000001e-07,
2.0,-0.4,-0.0024000000000000002,-4.4,9.1e-07,
2.0,-0.6000000000000001,-0.0028,-4.0,9.2e-07,
-1.0,-0.2,-0.003,-2.4000000000000004,9.3e-07,
3.0,-0.5,-0.0024000000000000002,-2.4000000000000004,9.4e-07,
0.0,-0.5,-0.0028,-4.0,9.5e-07,
-2.0,-0.4,-0.0034000000000000002,-4.0,9.600000000000001e-07,
