time	V(m)*Id(M1)
Step Information: Id=2  (Step: 1/7)
0.000000000000000e+00	-0.000000e+00
6.835937578564060e-16	1.996145e-02
1.367187515712812e-15	1.997395e-02
2.734375031425624e-15	1.999895e-02
5.468750062851248e-15	2.004893e-02
1.093750012570250e-14	2.014886e-02
2.187500025140499e-14	2.034854e-02
4.375000050280999e-14	2.074715e-02
8.750000100561997e-14	2.154119e-02
1.750000020112399e-13	2.311494e-02
3.500000040224799e-13	2.619445e-02
7.000000080449598e-13	3.202387e-02
1.400000016089920e-12	4.219168e-02
2.619721539444315e-12	5.550015e-02
4.277545058595108e-12	6.742419e-02
6.965433451610193e-12	8.047351e-02
1.105864511078651e-11	9.623413e-02
1.677882367116665e-11	1.168760e-01
2.278912913891516e-11	1.379871e-01
3.248504703549257e-11	1.712254e-01
4.933831877969557e-11	2.269647e-01
8.304486226810157e-11	3.308435e-01
1.504579492449136e-10	5.095429e-01
2.188173242449136e-10	6.538562e-01
2.871766992449136e-10	7.661813e-01
3.555360742449136e-10	8.524177e-01
4.238954492449137e-10	9.177801e-01
4.922548242449137e-10	9.671728e-01
5.606141992449136e-10	1.004091e+00
6.289735742449136e-10	1.031808e+00
6.973329492449136e-10	1.052424e+00
7.656923242449135e-10	1.067944e+00
8.340516992449135e-10	1.079522e+00
9.024110742449135e-10	1.088342e+00
9.707704492449134e-10	1.094996e+00
1.039129824244913e-09	1.100183e+00
1.107489199244913e-09	1.104182e+00
1.175848574244913e-09	1.107412e+00
1.244207949244913e-09	1.109986e+00
1.312567324244913e-09	1.112164e+00
1.380926699244913e-09	1.113977e+00
1.449286074244913e-09	1.115590e+00
1.517645449244913e-09	1.116995e+00
1.586004824244913e-09	1.118304e+00
1.654364199244913e-09	1.119492e+00
1.722723574244913e-09	1.120636e+00
1.791082949244913e-09	1.121707e+00
1.859442324244913e-09	1.122763e+00
1.927801699244913e-09	1.123771e+00
1.996161074244913e-09	1.124777e+00
2.064520449244914e-09	1.125752e+00
2.132879824244914e-09	1.126729e+00
2.201239199244914e-09	1.127685e+00
2.269598574244914e-09	1.128647e+00
2.337957949244914e-09	1.129592e+00
2.406317324244914e-09	1.130543e+00
2.474676699244915e-09	1.131482e+00
2.543036074244915e-09	1.132426e+00
2.611395449244915e-09	1.133360e+00
2.679754824244915e-09	1.134300e+00
2.748114199244915e-09	1.135231e+00
2.816473574244915e-09	1.136167e+00
2.884832949244916e-09	1.137095e+00
2.953192324244916e-09	1.138028e+00
3.021551699244916e-09	1.138954e+00
3.089911074244916e-09	1.139884e+00
3.158270449244916e-09	1.140808e+00
3.226629824244916e-09	1.141735e+00
3.294989199244917e-09	1.142658e+00
3.363348574244917e-09	1.143582e+00
3.431707949244917e-09	1.144503e+00
3.500067324244917e-09	1.145425e+00
3.568426699244917e-09	1.146344e+00
3.636786074244917e-09	1.147264e+00
3.705145449244918e-09	1.148181e+00
3.773504824244917e-09	1.149098e+00
3.841864199244918e-09	1.150013e+00
3.910223574244918e-09	1.150929e+00
3.978582949244918e-09	1.151842e+00
4.046942324244918e-09	1.152755e+00
4.115301699244918e-09	1.153667e+00
4.183661074244918e-09	1.154578e+00
4.252020449244919e-09	1.155488e+00
4.320379824244919e-09	1.156397e+00
4.388739199244919e-09	1.157305e+00
