CH1,time,Ts
390.0,0.0,0.0004
388.0,0.0004,
384.0,0.0008,
392.0,0.0012000000000000001,
392.0,0.0016,
386.0,0.002,
392.0,0.0024000000000000002,
388.0,0.0028,
388.0,0.0032,
386.0,0.0036000000000000003,
398.0,0.004,
390.0,0.0044,
386.0,0.0048000000000000004,
390.0,0.005200000000000001,
388.0,0.0056,
390.0,0.006,
392.0,0.0064,
394.0,0.0068000000000000005,
390.0,0.007200000000000001,
388.0,0.0076,
396.0,0.008,
392.0,0.008400000000000001,
396.0,0.0088,
394.0,0.0092,
386.0,0.009600000000000001,
392.0,0.01,
386.0,0.010400000000000001,
388.0,0.0108,
390.0,0.0112,
390.0,0.011600000000000001,
396.0,0.012,
382.0,0.012400000000000001,
394.0,0.0128,
388.0,0.0132,
386.0,0.013600000000000001,
386.0,0.014,
398.0,0.014400000000000001,
388.0,0.0148,
392.0,0.0152,
390.0,0.015600000000000001,
396.0,0.016,
386.0,0.0164,
392.0,0.016800000000000002,
392.0,0.0172,
388.0,0.0176,
390.0,0.018000000000000002,
392.0,0.0184,
390.0,0.0188,
388.0,0.019200000000000002,
384.0,0.0196,
390.0,0.02,
386.0,0.0204,
388.0,0.020800000000000003,
382.0,0.0212,
384.0,0.0216,
390.0,0.022000000000000002,
392.0,0.0224,
392.0,0.0228,
390.0,0.023200000000000002,
386.0,0.0236,
392.0,0.024,
388.0,0.0244,
384.0,0.024800000000000003,
392.0,0.0252,
394.0,0.0256,
388.0,0.026000000000000002,
390.0,0.0264,
392.0,0.0268,
390.0,0.027200000000000002,
392.0,0.027600000000000003,
392.0,0.028,
384.0,0.0284,
396.0,0.028800000000000003,
396.0,0.0292,
388.0,0.0296,
388.0,0.030000000000000002,
388.0,0.0304,
386.0,0.0308,
392.0,0.031200000000000002,
388.0,0.0316,
396.0,0.032,
390.0,0.0324,
396.0,0.0328,
386.0,0.0332,
390.0,0.033600000000000005,
386.0,0.034,
386.0,0.0344,
394.0,0.034800000000000005,
388.0,0.0352,
392.0,0.0356,
392.0,0.036000000000000004,
392.0,0.0364,
386.0,0.0368,
386.0,0.037200000000000004,
394.0,0.0376,
392.0,0.038,
390.0,0.038400000000000004,
390.0,0.0388,
388.0,0.0392,
396.0,0.0396,
386.0,0.04,
386.0,0.040400000000000005,
392.0,0.0408,
386.0,0.0412,
388.0,0.041600000000000005,
390.0,0.042,
388.0,0.0424,
390.0,0.042800000000000005,
392.0,0.0432,
396.0,0.0436,
388.0,0.044000000000000004,
396.0,0.0444,
386.0,0.0448,
392.0,0.045200000000000004,
386.0,0.0456,
390.0,0.046,
390.0,0.046400000000000004,
390.0,0.0468,
388.0,0.0472,
390.0,0.0476,
396.0,0.048,
388.0,0.048400000000000006,
386.0,0.0488,
390.0,0.0492,
388.0,0.049600000000000005,
396.0,0.05,
388.0,0.0504,
396.0,0.050800000000000005,
394.0,0.0512,
390.0,0.0516,
388.0,0.052000000000000005,
392.0,0.0524,
394.0,0.0528,
388.0,0.053200000000000004,
392.0,0.0536,
392.0,0.054,
390.0,0.054400000000000004,
394.0,0.0548,
392.0,0.055200000000000006,
