CH4,time,Ts
-2.4000000000000004,0.0,1e-09
-2.7843750000000003,1e-09,
-4.0062500000000005,2e-09,
-4.009375,3.0000000000000004e-09,
-3.2,4e-09,
-3.6,5e-09,
-3.2,6.000000000000001e-09,
-3.9875000000000003,7.000000000000001e-09,
-4.0062500000000005,8e-09,
-3.609375,9.000000000000001e-09,
-2.8000000000000003,1e-08,
-3.6,1.1000000000000001e-08,
-3.203125,1.2000000000000002e-08,
-4.0,1.3e-08,
-2.8000000000000003,1.4000000000000001e-08,
-4.0125,1.5000000000000002e-08,
-3.1906250000000003,1.6e-08,
-3.2,1.7e-08,
-2.8000000000000003,1.8000000000000002e-08,
-2.79375,1.9e-08,
-2.81875,2e-08,
-1.5718750000000001,2.1000000000000003e-08,
-4.800000000000001,2.2000000000000002e-08,
-3.6281250000000003,2.3e-08,
-3.203125,2.4000000000000003e-08,
-2.4000000000000004,2.5000000000000002e-08,
-2.8000000000000003,2.6e-08,
-3.575,2.7e-08,
-0.39687500000000003,2.8000000000000003e-08,
-4.390625,2.9e-08,
-2.809375,3.0000000000000004e-08,
-3.2062500000000003,3.1e-08,
-1.596875,3.2e-08,
-3.996875,3.3000000000000004e-08,
-2.0187500000000003,3.4e-08,
-3.171875,3.5e-08,
-3.1812500000000004,3.6000000000000005e-08,
-4.840625,3.7e-08,
-1.9968750000000002,3.8e-08,
-4.79375,3.9000000000000005e-08,
-2.4000000000000004,4e-08,
-3.59375,4.1e-08,
-2.8000000000000003,4.2000000000000006e-08,
-3.609375,4.3e-08,
-1.6031250000000001,4.4000000000000004e-08,
-3.184375,4.5000000000000006e-08,
-3.1906250000000003,4.6e-08,
-4.04375,4.7000000000000004e-08,
-1.640625,4.8000000000000006e-08,
-2.796875,4.9e-08,
-2.4000000000000004,5.0000000000000004e-08,
-3.21875,5.1e-08,
-3.1968750000000004,5.2e-08,
-3.203125,5.3000000000000005e-08,
-3.184375,5.4e-08,
-2.3937500000000003,5.5e-08,
-2.3875,5.6000000000000005e-08,
-2.428125,5.7e-08,
-4.4,5.8e-08,
-2.384375,5.9000000000000006e-08,
-2.403125,6.000000000000001e-08,
-2.8000000000000003,6.1e-08,
-2.4000000000000004,6.2e-08,
-2.40625,6.300000000000001e-08,
-2.8000000000000003,6.4e-08,
-2.396875,6.5e-08,
-2.0187500000000003,6.600000000000001e-08,
-3.6,6.7e-08,
-1.9968750000000002,6.8e-08,
-2.8062500000000004,6.900000000000001e-08,
-2.396875,7e-08,
-2.803125,7.1e-08,
-3.21875,7.200000000000001e-08,
-3.6125000000000003,7.3e-08,
-1.209375,7.4e-08,
-1.6,7.500000000000001e-08,
-1.1875,7.6e-08,
-3.6,7.7e-08,
-1.6,7.800000000000001e-08,
-3.5968750000000003,7.9e-08,
-1.2000000000000002,8e-08,
-2.3937500000000003,8.100000000000001e-08,
-1.596875,8.2e-08,
-2.8000000000000003,8.3e-08,
-1.203125,8.400000000000001e-08,
-2.0,8.500000000000001e-08,
-1.5906250000000002,8.6e-08,
-2.7843750000000003,8.700000000000001e-08,
-2.403125,8.800000000000001e-08,
-3.203125,8.9e-08,
-1.6,9.000000000000001e-08,
-2.8000000000000003,9.100000000000001e-08,
-1.609375,9.2e-08,
-3.6031250000000004,9.300000000000001e-08,
-2.0,9.400000000000001e-08,
-3.6,9.5e-08,
-1.15625,9.600000000000001e-08,
-1.6187500000000001,9.700000000000001e-08,
-2.0,9.8e-08,
-2.0031250000000003,9.9e-08,
-2.009375,1.0000000000000001e-07,
-1.9625000000000001,1.01e-07,
-3.6,1.02e-07,
-3.1968750000000004,1.0300000000000001e-07,
-2.403125,1.04e-07,
-2.809375,1.05e-07,
-2.390625,1.0600000000000001e-07,
-1.2000000000000002,1.07e-07,
-2.0031250000000003,1.08e-07,
-2.0031250000000003,1.0900000000000001e-07,
-2.4125,1.1e-07,
-4.003125,1.11e-07,
-3.1968750000000004,1.1200000000000001e-07,
-2.8000000000000003,1.13e-07,
-2.396875,1.14e-07,
-2.803125,1.1500000000000001e-07,
-2.0,1.16e-07,
-2.403125,1.17e-07,
-1.6,1.1800000000000001e-07,
-3.203125,1.1900000000000001e-07,
-1.190625,1.2000000000000002e-07,
-1.6,1.21e-07,
-1.209375,1.22e-07,
-2.396875,1.23e-07,
-0.4,1.24e-07,
-2.38125,1.2500000000000002e-07,
-0.8500000000000001,1.2600000000000002e-07,
0.7937500000000001,1.27e-07,
-0.025,1.28e-07,
-1.609375,1.29e-07,
-2.0031250000000003,1.3e-07,
-2.8062500000000004,1.31e-07,
-2.7843750000000003,1.3200000000000002e-07,
-2.00625,1.33e-07,
-2.79375,1.34e-07,
-1.1625,1.35e-07,
-0.40937500000000004,1.36e-07,
-1.20625,1.37e-07,
-0.8093750000000001,1.3800000000000002e-07,
-0.4,1.3900000000000001e-07,
-1.1812500000000001,1.4e-07,
-3.1968750000000004,1.41e-07,
-1.19375,1.42e-07,
-1.596875,1.43e-07,
-2.0,1.4400000000000002e-07,
-1.6125,1.4500000000000001e-07,
-2.4000000000000004,1.46e-07,
0.40937500000000004,1.47e-07,
-0.8,1.48e-07,
-1.2000000000000002,1.49e-07,
-1.6031250000000001,1.5000000000000002e-07,
-0.80625,1.5100000000000002e-07,
-2.403125,1.52e-07,
-1.2125000000000001,1.53e-07,
-2.021875,1.54e-07,
-3.215625,1.55e-07,
-1.203125,1.5600000000000002e-07,
-2.3937500000000003,1.5700000000000002e-07,
-1.6031250000000001,1.58e-07,
-2.0,1.59e-07,
-1.6,1.6e-07,
-0.815625,1.61e-07,
-0.7781250000000001,1.6200000000000002e-07,
-2.4000000000000004,1.6300000000000002e-07,
0.784375,1.64e-07,
-1.15625,1.65e-07,
-2.4250000000000003,1.66e-07,
-0.8812500000000001,1.67e-07,
-1.209375,1.6800000000000002e-07,
-2.8000000000000003,1.6900000000000002e-07,
-1.565625,1.7000000000000001e-07,
-0.8250000000000001,1.71e-07,
-2.0031250000000003,1.72e-07,
-1.6218750000000002,1.73e-07,
