CH1,time,Ts
-12.0,0.0,4e-09
-11.403125000000001,4e-09,
-11.4,8e-09,
-11.200000000000001,1.2000000000000002e-08,
-11.4015625,1.6e-08,
-10.8,2e-08,
-11.598437500000001,2.4000000000000003e-08,
-11.004687500000001,2.8000000000000003e-08,
-11.403125000000001,3.2e-08,
-11.6015625,3.6000000000000005e-08,
-11.598437500000001,4e-08,
-11.201562500000001,4.4000000000000004e-08,
-11.200000000000001,4.8000000000000006e-08,
-11.1984375,5.2e-08,
-11.600000000000001,5.6000000000000005e-08,
-11.200000000000001,6.000000000000001e-08,
-11.200000000000001,6.4e-08,
-11.200000000000001,6.8e-08,
-11.600000000000001,7.200000000000001e-08,
-11.4015625,7.6e-08,
-11.4,8e-08,
-11.600000000000001,8.400000000000001e-08,
-10.998437500000001,8.800000000000001e-08,
-11.1984375,9.2e-08,
-10.6015625,9.600000000000001e-08,
-10.7984375,1.0000000000000001e-07,
-11.200000000000001,1.04e-07,
-11.200000000000001,1.08e-07,
-11.4,1.1200000000000001e-07,
-11.203125,1.16e-07,
-12.0,1.2000000000000002e-07,
-11.003125,1.24e-07,
-11.4015625,1.28e-07,
-10.8046875,1.3200000000000002e-07,
-11.203125,1.36e-07,
-11.598437500000001,1.4e-07,
-10.8,1.4400000000000002e-07,
-11.600000000000001,1.48e-07,
-11.200000000000001,1.52e-07,
-11.4,1.5600000000000002e-07,
-11.600000000000001,1.6e-07,
-11.600000000000001,1.64e-07,
-11.200000000000001,1.6800000000000002e-07,
-11.6015625,1.72e-07,
-11.4,1.7600000000000001e-07,
-11.600000000000001,1.8000000000000002e-07,
-11.3984375,1.84e-07,
-11.7984375,1.8800000000000002e-07,
-11.396875000000001,1.9200000000000003e-07,
-10.998437500000001,1.96e-07,
-11.0015625,2.0000000000000002e-07,
-11.403125000000001,2.04e-07,
-10.8,2.08e-07,
-11.396875000000001,2.1200000000000002e-07,
-11.596875,2.16e-07,
-10.996875000000001,2.2e-07,
-10.8,2.2400000000000002e-07,
-11.0,2.28e-07,
-11.200000000000001,2.32e-07,
-11.600000000000001,2.3600000000000002e-07,
-11.0,2.4000000000000003e-07,
-11.6015625,2.44e-07,
-11.196875,2.48e-07,
-11.200000000000001,2.5200000000000003e-07,
-11.200000000000001,2.56e-07,
-11.200000000000001,2.6e-07,
-11.404687500000001,2.6400000000000003e-07,
-10.598437500000001,2.68e-07,
-11.203125,2.72e-07,
-11.1984375,2.7600000000000004e-07,
-11.4015625,2.8e-07,
-11.4015625,2.84e-07,
-11.200000000000001,2.8800000000000004e-07,
-10.7984375,2.92e-07,
-11.609375,2.96e-07,
-11.598437500000001,3.0000000000000004e-07,
-11.200000000000001,3.04e-07,
-11.4015625,3.08e-07,
-11.600000000000001,3.1200000000000004e-07,
-11.796875,3.16e-07,
-10.8,3.2e-07,
-11.4015625,3.2400000000000004e-07,
-11.1953125,3.28e-07,
-11.0,3.32e-07,
-11.200000000000001,3.3600000000000004e-07,
-11.200000000000001,3.4000000000000003e-07,
-11.0,3.44e-07,
-11.40625,3.4800000000000005e-07,
-11.596875,3.5200000000000003e-07,
-11.403125000000001,3.56e-07,
-11.801562500000001,3.6000000000000005e-07,
-11.203125,3.6400000000000003e-07,
-11.200000000000001,3.68e-07,
-11.201562500000001,3.7200000000000005e-07,
-11.003125,3.7600000000000003e-07,
-11.4,3.8e-07,
-10.8,3.8400000000000005e-07,
-11.0015625,3.8800000000000003e-07,
-11.200000000000001,3.92e-07,
-11.4,3.96e-07,
-11.600000000000001,4.0000000000000003e-07,
-11.598437500000001,4.04e-07,
-11.0,4.08e-07,
-11.4,4.1200000000000004e-07,
-11.600000000000001,4.16e-07,
-11.600000000000001,4.2e-07,
-11.0,4.2400000000000004e-07,
-11.603125,4.28e-07,
-11.4015625,4.32e-07,
-12.004687500000001,4.3600000000000004e-07,
-11.6046875,4.4e-07,
-10.8,4.44e-07,
-11.200000000000001,4.4800000000000004e-07,
-10.998437500000001,4.52e-07,
-11.6046875,4.56e-07,
-11.3984375,4.6000000000000004e-07,
-11.0,4.64e-07,
-11.4,4.68e-07,
-11.0015625,4.7200000000000004e-07,
-11.8,4.7600000000000003e-07,
-10.996875000000001,4.800000000000001e-07,
-10.80625,4.84e-07,
-11.4015625,4.88e-07,
-11.0,4.92e-07,
-11.4,4.96e-07,
-11.6015625,5.000000000000001e-07,
-11.20625,5.040000000000001e-07,
-10.803125000000001,5.08e-07,
-11.403125000000001,5.12e-07,
-11.196875,5.16e-07,
-11.200000000000001,5.2e-07,
-11.3984375,5.24e-07,
-11.600000000000001,5.280000000000001e-07,
-11.4,5.32e-07,
-11.4,5.36e-07,
-11.200000000000001,5.4e-07,
-11.201562500000001,5.44e-07,
-10.8,5.48e-07,
-11.1984375,5.520000000000001e-07,
-11.003125,5.560000000000001e-07,
-11.0,5.6e-07,
-11.200000000000001,5.64e-07,
-10.8,5.68e-07,
-11.4,5.72e-07,
-11.0015625,5.760000000000001e-07,
-10.596875,5.800000000000001e-07,
-10.203125,5.84e-07,
-8.99375,5.88e-07,
-8.603125,5.92e-07,
-8.196875,5.96e-07,
-7.8015625,6.000000000000001e-07,
-7.0062500000000005,6.040000000000001e-07,
-6.4,6.08e-07,
-5.996875,6.12e-07,
-5.596875000000001,6.16e-07,
-5.0,6.2e-07,
-4.4,6.240000000000001e-07,
-4.4015625,6.280000000000001e-07,
-4.2,6.32e-07,
-3.6031250000000004,6.36e-07,
-3.6,6.4e-07,
-2.9937500000000004,6.44e-07,
-2.0,6.480000000000001e-07,
-1.6,6.520000000000001e-07,
-2.396875,6.56e-07,
-1.409375,6.6e-07,
-0.8031250000000001,6.64e-07,
-0.8,6.68e-07,
-0.4,6.720000000000001e-07,
-0.6000000000000001,6.760000000000001e-07,
0.3953125,6.800000000000001e-07,
0.3984375,6.84e-07,
0.5984375000000001,6.88e-07,
0.8015625000000001,6.92e-07,
1.0,6.960000000000001e-07,
1.6,7.000000000000001e-07,
1.6,7.040000000000001e-07,
1.9968750000000002,7.08e-07,
2.196875,7.12e-07,
2.7984375000000004,7.16e-07,
2.4000000000000004,7.200000000000001e-07,
2.2015625,7.240000000000001e-07,
2.8000000000000003,7.280000000000001e-07,
3.1953125,7.32e-07,
3.803125,7.36e-07,
3.4015625000000003,7.4e-07,
4.0062500000000005,7.440000000000001e-07,
4.1984375,7.480000000000001e-07,
3.8000000000000003,7.520000000000001e-07,
4.2015625000000005,7.56e-07,
4.2,7.6e-07,
4.7953125000000005,7.64e-07,
5.2,7.680000000000001e-07,
4.9984375000000005,7.720000000000001e-07,
4.800000000000001,7.760000000000001e-07,
5.3968750000000005,7.8e-07,
5.6000000000000005,7.84e-07,
5.8015625,7.88e-07,
5.2,7.92e-07,
5.3968750000000005,7.960000000000001e-07,
6.0,8.000000000000001e-07,
6.2,8.04e-07,
6.003125000000001,8.08e-07,
5.3968750000000005,8.12e-07,
6.7859375,8.16e-07,
7.206250000000001,8.200000000000001e-07,
6.1937500000000005,8.240000000000001e-07,
5.800000000000001,8.280000000000001e-07,
6.2046875,8.32e-07,
6.996875,8.36e-07,
7.0,8.4e-07,
6.8031250000000005,8.440000000000001e-07,
6.2,8.480000000000001e-07,
6.800000000000001,8.520000000000001e-07,
7.0,8.56e-07,
7.0,8.6e-07,
6.4,8.64e-07,
6.7984375,8.680000000000001e-07,
6.800000000000001,8.720000000000001e-07,
6.6000000000000005,8.760000000000001e-07,
7.2,8.8e-07,
6.800000000000001,8.84e-07,
7.2,8.88e-07,
6.603125,8.920000000000001e-07,
6.196875,8.960000000000001e-07,
6.4,9.000000000000001e-07,
5.9984375000000005,9.04e-07,
6.198437500000001,9.08e-07,
5.5984375,9.12e-07,
5.9984375000000005,9.160000000000001e-07,
5.6000000000000005,9.200000000000001e-07,
6.0015625,9.240000000000001e-07,
5.198437500000001,9.28e-07,
5.6015625,9.32e-07,
5.6000000000000005,9.36e-07,
5.2,9.400000000000001e-07,
4.800000000000001,9.440000000000001e-07,
5.2,9.480000000000001e-07,
5.003125000000001,9.520000000000001e-07,
4.4,9.56e-07,
4.8015625,9.600000000000001e-07,
4.7984375,9.64e-07,
4.4,9.68e-07,
4.4015625,9.72e-07,
3.996875,9.76e-07,
4.4015625,9.800000000000001e-07,
3.5984375,9.84e-07,
4.003125,9.880000000000001e-07,
3.7984375000000004,9.92e-07,
3.796875,9.96e-07,
3.2,1.0000000000000002e-06,
2.8015625,1.004e-06,
2.5984375,1.0080000000000001e-06,
2.4000000000000004,1.012e-06,
2.7984375000000004,1.016e-06,
2.0,1.02e-06,
