Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Tradename,Packaging
747-IXFH120N25X3,IXFH120N25X3,IXYS,https://www.mouser.lu/datasheet/2/240/media-3320032.pdf,1.117  In Stock,"=""12,11 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/IXYS/IXFH120N25X3?qs=uwxL4vQweFP5DkYdBXAhWw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXFH120N25X3&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,250 V,"=""120 A""",12 mOhms,"- 20 V, + 20 V",2.5 V,122 nC,- 55 C,+ 150 C,480 W,Enhancement,HiPerFET,Tube
747-IXTH150N15X4,IXTH150N15X4,IXYS,https://www.mouser.lu/datasheet/2/240/media-3323759.pdf,196  In Stock,"=""10,71 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/IXYS/IXTH150N15X4?qs=T3oQrply3y9fCMNmtsEITw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH150N15X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""150 A""",7.2 mOhms,"- 20 V, + 20 V",2.5 V,105 nC,- 55 C,+ 175 C,480 W,Enhancement,HiPerFET,Tube
747-IXTP120N20X4,IXTP120N20X4,IXYS,https://www.mouser.lu/datasheet/2/240/media-3320559.pdf,768  In Stock,"=""6,28 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/IXYS/IXTP120N20X4?qs=Wj%2FVkw3K%252BMBBsCBOiZzKug%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTP120N20X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,200 V,"=""120 A""",9.5 mOhms,"- 20 V, + 20 V",2.5 V,108 nC,- 55 C,+ 175 C,417 W,Enhancement,,Tube
747-IXTH120N20X4,IXTH120N20X4,IXYS,https://www.mouser.lu/datasheet/2/240/media-3321548.pdf,1.894  In Stock,"=""6,60 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/IXYS/IXTH120N20X4?qs=Wj%2FVkw3K%252BMAYRp6vmQTpvw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH120N20X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,200 V,"=""120 A""",9.5 mOhms,"- 20 V, + 20 V",2.5 V,108 nC,- 55 C,+ 175 C,417 W,Enhancement,,Tube
512-FDH055N15A,FDH055N15A,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FDH055N15A,34  In Stock,"=""6,36 €""",RoHS Compliant By Exemption,,https://www.mouser.lu/ProductDetail/onsemi-Fairchild/FDH055N15A?qs=r2Ui%2FjbkGg%2FwTUHq7txgCw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FDH055N15A&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""167 A""",4.8 mOhms,"- 20 V, + 20 V",4 V,92 nC,- 55 C,+ 175 C,429 W,Enhancement,PowerTrench,Tube
726-IRF150P221AKMA1,IRF150P221AKMA1,Infineon Technologies,https://www.mouser.lu/datasheet/2/196/Infineon_IRF150P221_DataSheet_v02_02_EN-3362781.pdf,1.696  In Stock,"=""6,06 €""",,,https://www.mouser.lu/ProductDetail/Infineon-Technologies/IRF150P221AKMA1?qs=iLbezkQI%252BsgFvQ9qK7vaNg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IRF150P221AKMA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""186 A""",4.5 mOhms,"- 20 V, + 20 V",4.6 V,80 nC,- 55 C,+ 175 C,341 W,Enhancement,,Tube
747-IXTH130N15X4,IXTH130N15X4,IXYS,https://www.mouser.lu/datasheet/2/240/media-3323517.pdf,78  In Stock,"=""13,30 €""",RoHS Compliant,,https://www.mouser.lu/ProductDetail/IXYS/IXTH130N15X4?qs=%252BEew9%252B0nqrAtAKCtjtLaDg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IXTH130N15X4&utm_content=IXYS,Si,Through Hole,TO-247-3,N-Channel,1 Channel,150 V,"=""130 A""",8.5 mOhms,"- 20 V, + 20 V",2.5 V,87 nC,- 55 C,+ 150 C,400 W,Enhancement,HiPerFET,
