Serial ;diff;
3881036;;
3886036;5000;5000us = 5ms = 200HZ DONE !!!!!!!!!
3891037;5001;
3896037;5000;
3901037;5000;
3906037;5000;
3911037;5000;
3916037;5000;
3921037;5000;
3926037;5000;
3931037;5000;
3936037;5000;
3941037;5000;
3946037;5000;
3951037;5000;
3956037;5000;
3961037;5000;
3966037;5000;
3971037;5000;
3976037;5000;
3981037;5000;
3986036;4999;
3991036;5000;
3996037;5001;
4001037;5000;
4006037;5000;
4011037;5000;
4016037;5000;
4021037;5000;
4026037;5000;
4031037;5000;
