,t,v
266,1883081.0,237.0
267,1883118.0,242.0
268,1883158.0,243.0
269,1883194.0,240.0
270,1883230.0,242.0
271,1883267.0,242.0
272,1883303.0,243.0
273,1883340.0,242.0
274,1883376.0,245.0
275,1883413.0,245.0
276,1883449.0,245.0
277,1883486.0,246.0
278,1883522.0,246.0
279,1883558.0,246.0
280,1883595.0,246.0
281,1883631.0,246.0
282,1883668.0,247.0
283,1883704.0,247.0
284,1883741.0,246.0
285,1883777.0,250.0
286,1883814.0,250.0
287,1883850.0,250.0
288,1883887.0,251.0
289,1883923.0,250.0
290,1883960.0,252.0
291,1883996.0,253.0
292,1884033.0,251.0
293,1884070.0,251.0
294,1884106.0,254.0
295,1884143.0,257.0
296,1884184.0,254.0
297,1884220.0,256.0
298,1884257.0,257.0
299,1884293.0,256.0
300,1884330.0,258.0
301,1884366.0,259.0
302,1884402.0,258.0
303,1884439.0,258.0
304,1884475.0,259.0
305,1884512.0,259.0
306,1884548.0,259.0
307,1884585.0,260.0
308,1884621.0,262.0
309,1884658.0,262.0
310,1884695.0,262.0
311,1884731.0,262.0
312,1884767.0,263.0
313,1884804.0,263.0
314,1884840.0,266.0
315,1884877.0,267.0
316,1884913.0,265.0
317,1884950.0,266.0
318,1884987.0,270.0
319,1885023.0,267.0
320,1885060.0,267.0
321,1885096.0,269.0
322,1885133.0,268.0
323,1885173.0,269.0
324,1885209.0,269.0
325,1885246.0,270.0
326,1885282.0,270.0
327,1885319.0,270.0
328,1885355.0,270.0
329,1885391.0,270.0
330,1885428.0,271.0
331,1885464.0,270.0
332,1885501.0,272.0
333,1885537.0,273.0
334,1885573.0,270.0
335,1885610.0,273.0
336,1885646.0,275.0
337,1885683.0,273.0
338,1885719.0,273.0
339,1885756.0,275.0
340,1885792.0,275.0
341,1885829.0,276.0
342,1885865.0,275.0
343,1885902.0,278.0
344,1885938.0,278.0
345,1885974.0,275.0
346,1886015.0,277.0
347,1886051.0,278.0
348,1886088.0,279.0
349,1886124.0,280.0
350,1886165.0,280.0
351,1886201.0,281.0
352,1886237.0,282.0
353,1886274.0,281.0
354,1886310.0,279.0
355,1886347.0,283.0
356,1886383.0,281.0
357,1886420.0,281.0
358,1886456.0,285.0
359,1886492.0,283.0
360,1886529.0,282.0
361,1886565.0,284.0
362,1886602.0,284.0
363,1886638.0,285.0
364,1886674.0,285.0
365,1886711.0,285.0
366,1886747.0,289.0
367,1886784.0,284.0
368,1886820.0,285.0
369,1886857.0,289.0
370,1886893.0,289.0
371,1886930.0,288.0
372,1886966.0,289.0
373,1887003.0,288.0
374,1887041.0,289.0
375,1887077.0,292.0
376,1887114.0,289.0
377,1887154.0,289.0
378,1887190.0,291.0
379,1887227.0,293.0
380,1887263.0,291.0
381,1887300.0,291.0
382,1887336.0,293.0
383,1887373.0,292.0
384,1887409.0,293.0
385,1887445.0,293.0
386,1887482.0,293.0
387,1887518.0,293.0
388,1887555.0,293.0
389,1887591.0,293.0
390,1887627.0,293.0
391,1887664.0,293.0
392,1887700.0,293.0
393,1887737.0,295.0
394,1887773.0,295.0
395,1887810.0,295.0
396,1887846.0,295.0
397,1887882.0,295.0
398,1887919.0,295.0
399,1887955.0,295.0
400,1887991.0,295.0
401,1888029.0,297.0
402,1888065.0,297.0
403,1888102.0,297.0
404,1888138.0,298.0
405,1888179.0,298.0
406,1888215.0,297.0
407,1888252.0,297.0
408,1888288.0,300.0
409,1888325.0,298.0
410,1888361.0,300.0
411,1888397.0,302.0
412,1888434.0,300.0
413,1888470.0,300.0
414,1888507.0,304.0
415,1888543.0,300.0
416,1888580.0,301.0
417,1888616.0,304.0
418,1888653.0,303.0
419,1888689.0,303.0
420,1888726.0,305.0
421,1888762.0,303.0
422,1888799.0,303.0
423,1888835.0,303.0
424,1888872.0,303.0
425,1888908.0,305.0
426,1888945.0,304.0
427,1888981.0,304.0
428,1889018.0,305.0
429,1889055.0,305.0
430,1889091.0,305.0
431,1889128.0,305.0
432,1889168.0,306.0
433,1889204.0,305.0
434,1889241.0,306.0
435,1889277.0,308.0
436,1889314.0,308.0
437,1889350.0,307.0
438,1889387.0,310.0
439,1889423.0,308.0
440,1889460.0,307.0
441,1889496.0,311.0
442,1889532.0,308.0
