,t,v
458,23477,392
459,23528,394
460,23579,392
461,23630,394
462,23681,396
463,23732,394
464,23783,391
465,23834,394
466,23885,391
467,23936,393
468,23987,392
469,24038,394
470,24088,392
471,24139,391
472,24190,394
473,24241,394
474,24292,394
475,24343,392
476,24394,392
477,24444,394
478,24495,394
479,24546,394
480,24597,394
481,24647,393
482,24698,392
483,24749,392
484,24800,398
485,24851,394
486,24902,394
487,24953,392
488,25003,393
489,25054,391
490,25105,394
491,25156,394
492,25207,391
493,25258,392
494,25309,394
495,25359,394
496,25410,397
497,25460,396
498,25511,395
499,25562,391
500,25613,394
501,25664,394
502,25714,394
503,25765,390
504,25816,394
505,25867,392
506,25918,392
507,25969,394
508,26020,395
509,26071,394
510,26122,393
511,26172,394
512,26223,394
513,26274,394
514,26325,394
515,26376,392
516,26427,393
517,26478,394
518,26529,394
519,26579,397
520,26630,397
521,26680,398
522,26731,394
523,26782,394
524,26833,395
525,26884,392
526,26935,392
527,26986,395
528,27036,391
529,27087,394
530,27138,392
531,27189,392
532,27240,396
533,27291,398
534,27342,394
535,27393,394
536,27444,394
537,27495,394
538,27545,394
539,27596,394
540,27647,392
541,27698,394
542,27749,394
543,27799,394
544,27850,395
545,27901,397
546,27952,396
547,28002,394
548,28053,394
549,28104,394
550,28155,392
551,28205,394
552,28256,394
553,28307,395
554,28358,394
555,28409,392
556,28459,392
557,28510,398
558,28561,396
559,28612,395
560,28663,394
561,28714,392
562,28764,394
563,28815,393
564,28866,394
565,28917,394
566,28968,394
567,29019,395
568,29070,398
569,29121,395
570,29172,395
571,29222,394
572,29273,394
573,29324,394
574,29375,395
575,29425,394
576,29476,394
577,29527,394
578,29578,392
579,29629,394
580,29679,397
581,29730,397
582,29781,398
583,29832,394
584,29883,394
585,29934,394
586,29985,392
587,30035,394
588,30086,394
589,30137,394
590,30188,396
591,30238,394
592,30289,394
593,30340,396
594,30391,394
595,30441,395
596,30492,395
597,30543,394
598,30594,394
599,30645,395
600,30695,394
601,30746,394
602,30797,395
603,30848,395
604,30899,394
605,30949,397
606,31000,397
607,31051,398
608,31102,397
609,31153,394
610,31203,394
611,31254,394
612,31305,395
613,31356,394
614,31407,394
615,31458,394
616,31508,394
617,31559,394
618,31610,398
619,31661,395
620,31711,394
621,31762,395
622,31813,396
623,31864,396
624,31914,396
625,31965,394
626,32016,394
627,32067,396
628,32117,395
629,32168,396
630,32219,395
631,32270,398
632,32321,398
633,32372,396
634,32423,394
635,32473,394
636,32524,395
637,32575,394
638,32626,396
639,32676,394
640,32727,395
641,32778,395
642,32829,395
643,32879,397
644,32930,398
645,32981,396
646,33032,395
647,33083,395
648,33133,395
649,33184,395
650,33235,395
651,33286,394
652,33336,394
653,33387,396
654,33438,397
655,33488,394
656,33539,395
657,33590,397
658,33641,396
659,33692,394
660,33743,395
661,33794,395
662,33844,395
663,33895,396
664,33946,395
665,33997,397
666,34048,394
667,34098,394
668,34149,396
669,34200,398
670,34251,394
671,34301,394
672,34352,395
673,34403,396
674,34454,394
675,34505,394
676,34556,396
677,34606,396
678,34657,396
679,34708,394
680,34759,395
681,34809,398
682,34860,398
683,34911,398
684,34962,394
685,35013,398
686,35064,394
687,35115,394
688,35165,396
689,35216,396
690,35266,396
691,35317,397
692,35368,395
693,35419,395
694,35469,394
695,35520,398
696,35571,398
697,35622,395
698,35672,394
699,35723,397
700,35773,394
701,35824,394
702,35875,395
703,35926,397
704,35977,396
705,36027,398
706,36081,396
707,36131,394
708,36182,396
709,36233,396
710,36284,398
711,36334,396
712,36385,395
713,36436,397
714,36486,396
715,36537,396
716,36588,395
717,36638,394
718,36689,395
719,36740,398
720,36791,395
721,36841,397
722,36892,395
723,36943,396
724,36994,395
725,37045,395
726,37096,395
727,37147,395
728,37197,396
729,37248,397
730,37299,395
731,37350,399
732,37400,397
733,37451,397
734,37502,396
735,37552,394
736,37603,395
737,37654,395
738,37705,397
739,37755,396
740,37806,395
741,37857,397
742,37908,395
743,37958,394
744,38009,397
745,38060,398
746,38111,398
747,38162,397
748,38213,397
749,38264,397
750,38314,397
751,38365,395
752,38416,396
753,38467,397
754,38517,395
755,38568,396
756,38619,397
757,38670,398
758,38721,395
759,38772,396
760,38822,396
761,38873,396
762,38924,397
763,38975,397
764,39025,396
765,39076,396
766,39127,395
767,39178,395
768,39228,394
769,39279,396
770,39329,396
771,39380,399
772,39431,396
773,39482,398
774,39532,397
775,39583,397
776,39634,398
777,39685,395
778,39736,396
779,39786,397
780,39837,397
781,39888,397
782,39939,398
783,39989,399
784,40040,397
785,40091,399
786,40142,396
787,40193,396
788,40243,396
789,40294,396
790,40345,396
791,40396,395
792,40446,397
793,40497,396
794,40548,394
795,40599,397
796,40650,398
797,40700,398
798,40751,398
799,40802,396
800,40852,397
801,40903,398
802,40954,396
803,41005,395
804,41055,397
805,41106,395
806,41157,395
807,41208,397
808,41259,395
809,41309,397
810,41360,399
811,41411,399
812,41462,397
813,41512,397
814,41563,397
815,41614,396
816,41664,398
817,41715,396
818,41766,397
819,41817,395
820,41868,395
821,41918,397
822,41969,398
823,42020,398
824,42071,395
825,42121,398
826,42172,398
827,42223,395
828,42274,395
829,42325,396
830,42376,395
831,42426,397
832,42477,395
833,42528,396
834,42579,398
835,42630,399
836,42681,396
837,42732,396
838,42783,397
839,42833,397
840,42884,397
841,42935,397
842,42986,397
843,43037,397
844,43087,396
845,43138,398
846,43188,397
847,43239,396
848,43290,399
849,43341,398
850,43391,397
851,43442,396
852,43493,397
853,43544,398
854,43595,397
855,43646,397
856,43696,398
857,43747,396
858,43798,397
859,43849,397
860,43899,397
861,43950,399
862,44001,399
863,44052,397
864,44103,397
865,44153,396
866,44204,397
867,44255,398
868,44306,397
869,44357,397
870,44407,396
871,44458,397
872,44509,397
873,44560,399
874,44611,398
875,44661,398
876,44712,398
877,44763,397
878,44814,397
879,44865,398
880,44915,398
881,44966,397
882,45017,397
883,45068,396
884,45118,397
885,45169,398
886,45220,399
887,45270,399
888,45321,399
889,45372,398
890,45423,398
891,45474,398
892,45524,398
893,45575,398
894,45626,397
895,45677,398
896,45727,395
897,45778,397
898,45829,397
899,45880,398
900,45930,399
901,45981,397
902,46032,398
903,46083,397
904,46134,398
905,46185,398
906,46236,398
907,46287,396
908,46337,397
909,46388,396
910,46439,397
911,46490,398
912,46541,398
913,46591,396
914,46642,397
915,46693,397
916,46744,398
917,46794,397
918,46845,397
919,46896,397
920,46947,398
921,46998,398
922,47048,397
923,47099,397
924,47150,399
925,47201,396
926,47252,397
927,47302,398
928,47353,398
929,47404,398
930,47455,397
931,47506,398
932,47557,398
933,47608,397
934,47659,396
935,47709,399
936,47760,399
937,47811,397
938,47862,398
939,47912,396
940,47963,399
941,48014,397
942,48065,397
943,48115,397
944,48166,397
945,48217,398
946,48268,396
947,48318,398
948,48369,397
949,48420,398
950,48471,399
951,48522,397
952,48573,396
953,48623,398
954,48674,399
955,48725,398
956,48776,398
957,48826,397
958,48877,398
959,48928,398
960,48979,398
961,49029,396
962,49080,398
963,49131,399
964,49182,398
965,49232,398
966,49283,396
967,49334,398
968,49385,397
969,49435,397
970,49486,397
971,49537,398
972,49588,398
973,49639,398
974,49690,399
975,49741,398
976,49792,398
977,49842,398
978,49893,397
979,49944,396
980,49995,397
981,50045,395
982,50096,398
983,50147,398
984,50198,397
985,50249,397
986,50299,398
987,50350,399
988,50401,399
989,50452,398
990,50503,397
991,50553,397
992,50604,397
993,50655,397
994,50706,397
995,50757,397
996,50808,398
997,50859,397
998,50910,399
999,50960,399
1000,51011,398
1001,51062,398
1002,51113,398
1003,51164,398
1004,51215,396
1005,51265,398
1006,51316,398
1007,51367,398
1008,51418,398
1009,51469,398
1010,51519,399
1011,51570,399
1012,51621,398
1013,51672,398
1014,51723,398
1015,51774,398
1016,51824,397
1017,51875,397
1018,51926,398
1019,51976,397
1020,52027,398
1021,52078,398
1022,52129,398
1023,52179,398
1024,52230,399
1025,52281,399
1026,52332,397
1027,52383,398
1028,52434,398
1029,52485,397
1030,52535,398
1031,52586,398
1032,52637,398
1033,52687,395
1034,52738,398
1035,52789,398
1036,52840,399
1037,52891,399
1038,52941,397
1039,52992,398
1040,53043,397
1041,53094,398
1042,53144,397
1043,53195,398
1044,53246,398
1045,53297,395
1046,53348,397
1047,53399,398
1048,53449,398
1049,53500,399
1050,53551,398
1051,53602,398
1052,53653,397
1053,53704,398
1054,53755,398
1055,53806,399
1056,53856,398
1057,53907,397
1058,53958,399
1059,54008,398
1060,54059,397
1061,54109,397
1062,54160,399
1063,54211,399
1064,54262,398
1065,54313,398
1066,54363,398
1067,54414,398
1068,54465,397
1069,54516,398
1070,54567,397
1071,54617,398
1072,54668,398
1073,54719,398
1074,54770,400
1075,54820,399
1076,54871,399
1077,54922,399
1078,54973,398
1079,55024,398
1080,55075,398
1081,55126,398
1082,55176,398
1083,55227,397
1084,55278,398
1085,55329,397
1086,55379,399
1087,55430,399
1088,55481,397
1089,55532,398
1090,55582,398
1091,55633,398
1092,55684,398
1093,55734,397
1094,55785,398
1095,55836,398
1096,55886,398
1097,55937,399
1098,55988,399
1099,56039,398
1100,56091,398
1101,56142,399
1102,56193,398
1103,56244,398
1104,56295,398
1105,56345,397
1106,56396,399
1107,56447,397
1108,56498,398
1109,56548,398
1110,56599,398
1111,56650,399
1112,56701,399
1113,56752,398
1114,56803,398
1115,56854,398
1116,56905,398
1117,56956,398
1118,57007,398
1119,57057,398
1120,57108,398
1121,57159,395
1122,57210,399
1123,57261,398
1124,57311,399
1125,57362,398
1126,57413,398
1127,57464,397
1128,57515,398
1129,57566,398
1130,57617,398
1131,57667,398
1132,57718,398
1133,57769,398
1134,57820,399
1135,57870,399
1136,57921,399
1137,57972,398
1138,58023,399
1139,58073,398
1140,58124,398
1141,58175,398
1142,58226,398
1143,58277,399
1144,58327,398
1145,58378,398
1146,58429,399
1147,58480,399
1148,58531,397
1149,58581,398
1150,58632,399
1151,58683,397
1152,58733,398
1153,58784,398
1154,58835,398
1155,58886,398
1156,58936,398
1157,58987,398
1158,59038,398
1159,59089,398
1160,59140,399
1161,59190,399
1162,59241,399
1163,59292,398
1164,59343,398
1165,59393,398
1166,59444,398
1167,59495,399
1168,59546,399
1169,59597,398
1170,59648,397
1171,59698,397
1172,59749,398
1173,59799,399
1174,59850,399
1175,59901,399
1176,59952,399
1177,60002,398
1178,60053,399
1179,60104,398
1180,60155,398
1181,60205,398
1182,60256,398
1183,60307,398
1184,60358,398
1185,60408,398
1186,60459,398
1187,60510,399
1188,60561,398
1189,60612,398
1190,60662,398
1191,60713,399
1192,60764,398
1193,60815,398
1194,60866,398
1195,60916,398
1196,60967,398
1197,61018,398
1198,61069,399
1199,61120,399
1200,61170,399
1201,61221,399
1202,61272,398
1203,61323,398
1204,61374,398
1205,61424,398
1206,61475,398
1207,61526,398
1208,61576,398
1209,61627,398
1210,61678,398
1211,61729,397
1212,61780,399
1213,61830,399
1214,61881,399
1215,61932,398
1216,61983,398
1217,62033,398
1218,62084,398
1219,62135,398
1220,62185,396
1221,62236,398
1222,62287,398
1223,62338,399
1224,62389,397
1225,62439,399
1226,62490,399
1227,62541,398
1228,62591,398
1229,62642,398
1230,62693,399
1231,62744,399
1232,62794,398
1233,62845,398
1234,62896,398
1235,62947,398
1236,62997,398
1237,63048,398
1238,63098,398
1239,63149,398
1240,63200,399
1241,63250,399
1242,63301,399
1243,63352,399
1244,63403,397
1245,63453,398
1246,63504,397
1247,63555,398
1248,63606,399
1249,63657,398
1250,63707,398
1251,63758,398
1252,63809,398
1253,63859,399
1254,63910,399
1255,63961,399
1256,64012,398
1257,64063,399
1258,64113,399
1259,64164,398
1260,64215,398
1261,64266,398
1262,64317,399
1263,64368,399
1264,64419,399
1265,64469,398
1266,64520,399
1267,64571,399
1268,64622,398
1269,64673,399
1270,64724,398
1271,64775,399
1272,64825,398
1273,64876,398
1274,64927,398
1275,64978,398
1276,65029,398
1277,65080,399
1278,65131,399
1279,65181,399
1280,65232,397
1281,65283,399
1282,65334,399
1283,65385,398
1284,65436,398
1285,65487,399
1286,65538,398
1287,65588,398
1288,65639,398
1289,65690,399
1290,65740,399
1291,65791,398
1292,65842,399
1293,65893,398
1294,65943,398
1295,65994,398
1296,66045,398
1297,66096,399
1298,66146,399
1299,66197,398
1300,66248,398
1301,66299,397
1302,66350,400
1303,66400,399
1304,66451,399
1305,66502,398
1306,66553,398
1307,66604,399
1308,66655,398
1309,66705,398
1310,66756,398
1311,66807,398
1312,66857,399
1313,66908,398
1314,66958,398
1315,67009,398
1316,67060,399
1317,67111,399
1318,67162,399
1319,67213,399
1320,67264,398
1321,67315,398
1322,67365,399
1323,67416,398
1324,67467,399
1325,67517,398
1326,67568,399
1327,67619,398
1328,67670,399
1329,67720,399
1330,67771,399
1331,67822,399
1332,67873,398
1333,67924,399
1334,67975,398
1335,68026,398
1336,68076,399
1337,68127,398
1338,68178,398
1339,68229,398
1340,68280,399
1341,68331,399
1342,68381,399
1343,68432,398
1344,68483,398
1345,68534,398
1346,68584,399
1347,68635,399
1348,68686,398
1349,68737,398
1350,68788,399
1351,68838,399
1352,68889,398
1353,68940,399
1354,68991,400
1355,69042,399
1356,69093,399
1357,69143,399
1358,69194,398
1359,69245,399
1360,69296,399
1361,69346,398
1362,69397,398
1363,69448,399
1364,69499,398
1365,69550,399
1366,69600,400
1367,69651,399
1368,69702,399
1369,69753,398
1370,69803,398
1371,69854,398
1372,69905,399
1373,69956,399
1374,70007,398
1375,70057,398
1376,70108,398
1377,70159,398
1378,70210,399
1379,70260,399
1380,70311,399
1381,70362,399
1382,70412,398
1383,70463,399
1384,70514,398
1385,70565,398
1386,70616,399
1387,70667,398
1388,70717,398
1389,70768,399
1390,70819,398
1391,70869,398
1392,70920,399
1393,70971,400
1394,71022,398
1395,71073,399
1396,71124,398
1397,71175,398
1398,71225,399
1399,71276,399
1400,71327,398
1401,71378,398
1402,71429,398
1403,71479,398
1404,71530,399
1405,71581,400
1406,71632,399
1407,71682,398
1408,71733,398
1409,71784,398
1410,71835,399
1411,71886,398
1412,71937,398
1413,71987,398
1414,72038,398
1415,72089,398
1416,72140,399
1417,72191,399
1418,72242,398
1419,72293,399
1420,72344,399
1421,72394,398
1422,72445,399
1423,72496,398
1424,72547,398
1425,72598,398
1426,72648,398
1427,72699,398
1428,72750,399
1429,72801,399
1430,72852,398
1431,72902,399
1432,72953,399
1433,73004,398
1434,73055,398
1435,73106,398
1436,73156,399
1437,73207,398
1438,73258,399
1439,73309,399
1440,73360,399
1441,73411,399
1442,73461,398
1443,73512,399
1444,73563,398
1445,73614,398
1446,73665,398
1447,73716,398
1448,73767,398
1449,73818,399
1450,73868,398
1451,73919,399
1452,73970,399
1453,74021,399
1454,74072,398
1455,74122,399
1456,74173,398
1457,74224,399
1458,74275,398
1459,74325,399
1460,74376,398
1461,74427,398
1462,74478,398
1463,74529,399
1464,74580,399
1465,74630,400
1466,74681,399
1467,74732,399
1468,74782,398
1469,74833,399
1470,74884,398
1471,74935,398
1472,74986,399
1473,75037,398
1474,75087,398
1475,75138,398
1476,75189,398
1477,75240,399
1478,75291,399
1479,75342,399
1480,75392,398
1481,75443,399
1482,75494,399
1483,75545,399
1484,75595,398
1485,75646,398
1486,75697,398
1487,75748,399
1488,75799,399
1489,75850,399
1490,75901,399
1491,75952,399
1492,76003,399
1493,76053,399
1494,76105,398
1495,76156,398
1496,76207,398
1497,76258,399
1498,76308,398
1499,76359,399
1500,76410,399
1501,76461,399
1502,76512,399
1503,76562,399
1504,76613,399
1505,76664,398
1506,76715,398
1507,76766,399
1508,76817,399
1509,76868,398
1510,76918,398
1511,76969,398
1512,77020,399
1513,77071,400
1514,77122,399
1515,77172,399
1516,77223,397
1517,77274,398
1518,77325,399
1519,77375,398
1520,77426,398
1521,77477,399
1522,77528,399
1523,77579,399
1524,77630,399
1525,77680,399
1526,77731,399
1527,77782,398
1528,77833,399
1529,77884,399
1530,77935,398
1531,77986,399
1532,78036,398
1533,78087,398
1534,78138,399
1535,78189,398
1536,78240,400
1537,78290,399
1538,78341,399
1539,78392,398
1540,78442,399
1541,78493,399
1542,78544,399
1543,78595,398
1544,78645,399
1545,78696,398
1546,78747,398
1547,78797,399
1548,78848,399
1549,78899,398
1550,78950,399
1551,79001,399
1552,79051,399
1553,79102,398
1554,79152,399
1555,79203,398
1556,79254,398
1557,79305,399
1558,79356,399
1559,79407,398
1560,79457,399
1561,79508,398
1562,79559,398
1563,79610,399
1564,79661,398
1565,79711,399
1566,79762,399
1567,79813,398
1568,79864,398
1569,79914,398
1570,79965,399
1571,80016,398
1572,80066,399
1573,80117,398
1574,80168,399
1575,80219,398
1576,80270,399
1577,80321,398
1578,80371,398
1579,80422,399
1580,80473,398
1581,80524,399
1582,80575,399
1583,80626,399
1584,80676,399
1585,80727,398
1586,80778,399
1587,80829,398
1588,80880,400
1589,80930,400
1590,80981,398
1591,81032,399
1592,81083,399
1593,81134,399
1594,81185,399
1595,81235,398
1596,81286,399
1597,81337,399
1598,81388,399
1599,81439,398
1600,81490,399
1601,81540,399
1602,81591,399
1603,81642,399
1604,81693,398
1605,81744,399
1606,81795,398
1607,81846,399
1608,81896,398
1609,81947,398
1610,81998,399
1611,82049,399
1612,82100,399
1613,82150,399
1614,82201,399
1615,82252,399
1616,82303,399
1617,82353,399
1618,82404,398
1619,82455,399
1620,82506,398
1621,82556,398
1622,82607,398
1623,82658,399
1624,82709,399
1625,82760,400
1626,82811,399
1627,82862,399
1628,82913,399
1629,82963,398
1630,83014,398
1631,83065,399
1632,83116,398
1633,83167,399
1634,83218,398
1635,83268,398
1636,83319,397
1637,83370,400
1638,83421,399
1639,83471,398
1640,83522,399
1641,83573,399
1642,83624,399
1643,83674,398
1644,83725,399
1645,83776,398
1646,83827,397
1647,83878,398
1648,83929,399
1649,83979,398
1650,84030,399
1651,84081,399
1652,84132,399
1653,84183,399
1654,84234,399
1655,84284,398
1656,84335,399
1657,84386,399
1658,84437,398
1659,84488,399
1660,84538,398
1661,84589,399
1662,84640,399
1663,84691,400
1664,84742,398
1665,84793,398
1666,84843,399
1667,84894,399
1668,84945,399
1669,84995,399
1670,85046,399
1671,85097,398
1672,85147,398
1673,85198,399
1674,85249,399
1675,85300,400
1676,85351,399
1677,85401,399
1678,85452,398
1679,85503,399
1680,85554,399
1681,85605,399
1682,85656,398
1683,85707,398
1684,85758,399
1685,85809,399
1686,85859,387
1687,85910,399
1688,85961,399
1689,86012,399
1690,86063,399
1691,86114,399
1692,86165,398
1693,86216,399
1694,86266,399
1695,86317,399
1696,86368,399
1697,86419,399
1698,86470,399
1699,86520,399
1700,86571,399
1701,86622,399
1702,86673,399
1703,86723,399
1704,86774,398
1705,86824,398
1706,86876,399
1707,86926,398
1708,86977,398
1709,87028,399
1710,87079,399
1711,87130,399
1712,87181,399
1713,87232,399
1714,87283,399
1715,87333,399
1716,87384,398
1717,87435,399
1718,87486,398
1719,87537,398
1720,87587,399
1721,87638,398
1722,87689,398
1723,87740,399
1724,87791,399
1725,87842,399
1726,87893,399
1727,87943,399
1728,88045,399
1729,88095,399
1730,88146,398
1731,88197,399
1732,88247,399
1733,88298,399
1734,88349,398
1735,88400,399
1736,88450,400
1737,88501,400
1738,88552,399
1739,88603,399
1740,88654,399
1741,88704,399
1742,88755,399
1743,88806,399
1744,88857,398
1745,88907,399
1746,88958,398
1747,89009,399
1748,89060,399
1749,89111,399
1750,89162,399
1751,89213,398
1752,89263,399
1753,89314,399
1754,89365,398
1755,89416,399
1756,89467,399
1757,89517,399
1758,89568,399
1759,89619,399
1760,89670,399
1761,89720,401
1762,89771,400
1763,89822,399
1764,89873,399
1765,89924,399
1766,89975,399
1767,90025,399
1768,90076,399
1769,90127,399
1770,90178,399
1771,90229,399
1772,90280,399
1773,90330,401
1774,90381,401
1775,90432,399
1776,90483,399
1777,90534,399
1778,90584,399
1779,90635,399
1780,90686,399
1781,90736,399
1782,90787,399
1783,90838,398
1784,90889,399
1785,90940,401
1786,90990,400
1787,91041,401
1788,91092,399
1789,91143,399
1790,91194,399
1791,91244,399
1792,91295,399
1793,91346,399
1794,91397,399
1795,91448,399
1796,91498,399
1797,91549,399
1798,91600,400
1799,91650,400
1800,91701,400
1801,91752,399
1802,91803,399
1803,91854,399
1804,91905,399
1805,91955,399
1806,92006,399
1807,92057,399
1808,92108,399
1809,92158,399
1810,92209,399
1811,92260,400
1812,92311,399
1813,92362,399
1814,92412,399
1815,92463,399
1816,92514,399
1817,92565,399
1818,92616,399
1819,92666,399
1820,92717,399
1821,92767,398
1822,92818,399
1823,92869,399
1824,92920,402
1825,92971,399
1826,93021,399
1827,93072,399
1828,93123,399
1829,93174,399
1830,93225,399
1831,93276,399
1832,93327,399
1833,93378,399
1834,93428,399
1835,93479,399
1836,93530,400
1837,93581,399
1838,93631,399
1839,93682,399
1840,93733,398
1841,93784,399
1842,93834,399
1843,93885,399
1844,93936,399
1845,93986,399
1846,94037,399
1847,94088,399
1848,94138,399
1849,94189,399
1850,94240,400
1851,94291,399
1852,94341,399
1853,94392,399
1854,94443,399
1855,94494,399
1856,94545,399
1857,94596,399
1858,94647,399
1859,94698,399
1860,94749,398
1861,94799,401
1862,94850,401
1863,94901,399
1864,94952,400
1865,95002,399
1866,95053,399
1867,95104,399
1868,95155,399
1869,95206,399
1870,95256,399
1871,95307,399
1872,95358,399
1873,95408,399
1874,95459,399
