a0,a1,vout,a2,a3,a4,a5,a6,a7,Vin,tempS,TempP,ene
425.0,3543.0,109.06,1450.0,2521.0,2331.0,145.0,2911.0,26.0,1.12,19.97,8.72,1200.0
420.0,3542.0,109.03,1450.0,2519.0,2331.0,145.0,2910.0,24.0,0.48,19.97,8.77,1200.0
428.0,3541.0,109.0,1447.0,2520.0,2328.0,150.0,2910.0,24.0,0.48,20.07,8.75,1200.0
418.0,3541.0,109.0,1450.0,2520.0,2331.0,145.0,2910.0,23.0,0.16,19.97,8.75,1200.0
431.0,3542.0,109.03,1449.0,2522.0,2332.0,154.0,2913.0,29.0,2.09,20.04,8.72,1200.0
418.0,3543.0,109.06,1452.0,2523.0,2331.0,146.0,2912.0,26.0,1.12,20.04,8.65,1200.0
413.0,3542.0,109.03,1448.0,2520.0,2331.0,140.0,2910.0,23.0,0.16,20.04,8.72,1200.0
406.0,3542.0,109.03,1450.0,2520.0,2329.0,147.0,2911.0,26.0,1.12,20.0,8.77,1200.0
401.0,3542.0,109.03,1453.0,2523.0,2331.0,147.0,2909.0,23.0,0.16,20.07,8.75,1200.0
397.0,3541.0,109.0,1449.0,2522.0,2331.0,136.0,2911.0,25.0,0.8,20.04,8.79,1200.0
406.0,3543.0,109.06,1450.0,2521.0,2329.0,136.0,2911.0,25.0,0.8,20.04,8.72,1200.0
422.0,3542.0,109.03,1451.0,2523.0,2335.0,147.0,2911.0,25.0,0.8,19.91,8.72,1200.0
408.0,3542.0,109.03,1451.0,2520.0,2330.0,150.0,2913.0,25.0,0.8,20.04,8.79,1200.0
423.0,3543.0,109.06,1450.0,2521.0,2333.0,143.0,2911.0,25.0,0.8,20.07,8.77,1200.0
402.0,3544.0,109.09,1453.0,2521.0,2334.0,141.0,2910.0,24.0,0.48,20.04,8.75,1200.0
421.0,3543.0,109.06,1451.0,2521.0,2329.0,141.0,2912.0,26.0,1.12,20.0,8.67,1200.0
410.0,3545.0,109.12,1452.0,2522.0,2338.0,143.0,2910.0,23.0,0.16,20.04,8.75,1200.0
421.0,3543.0,109.06,1451.0,2522.0,2330.0,142.0,2906.0,25.0,0.8,20.16,8.79,1200.0
407.0,3542.0,109.03,1451.0,2522.0,2327.0,151.0,2763.0,25.0,0.8,23.98,8.79,1200.0
412.0,3545.0,109.12,1453.0,2523.0,2332.0,148.0,2450.0,25.0,0.8,33.67,8.72,1200.0
423.0,3541.0,109.0,1449.0,2520.0,2323.0,145.0,2352.0,23.0,0.16,36.02,8.75,1200.0
421.0,3542.0,109.03,1448.0,2519.0,2334.0,129.0,2387.0,19.0,-1.13,35.21,8.79,1200.0
414.0,3541.0,109.0,1451.0,2523.0,2327.0,150.0,2496.0,24.0,0.48,32.32,8.7,1200.0
410.0,3543.0,109.06,1450.0,2520.0,2331.0,148.0,2575.0,24.0,0.48,29.95,8.7,1200.0
405.0,3542.0,109.03,1452.0,2524.0,2342.0,152.0,2598.0,26.0,1.12,29.42,8.75,1200.0
422.0,3543.0,109.06,1452.0,2522.0,2331.0,138.0,2618.0,26.0,1.12,28.71,8.75,1200.0
415.0,3542.0,109.03,1451.0,2521.0,2327.0,148.0,2626.0,24.0,0.48,28.48,8.65,1200.0
410.0,3543.0,109.06,1451.0,2521.0,2350.0,143.0,2555.0,25.0,0.8,30.71,8.82,1200.0
424.0,3540.0,108.97,1448.0,2520.0,2325.0,139.0,2525.0,24.0,0.48,31.53,8.77,1200.0
410.0,3543.0,109.06,1451.0,2521.0,2335.0,145.0,2357.0,22.0,-0.16,35.93,8.7,1200.0
421.0,3544.0,109.09,1451.0,2522.0,2328.0,143.0,1919.0,23.0,0.16,48.43,8.7,1200.0
416.0,3545.0,109.12,1453.0,2523.0,2313.0,150.0,1664.0,20.0,-0.8,56.47,8.67,1200.0
414.0,3541.0,109.0,1448.0,2519.0,2334.0,140.0,1427.0,19.0,-1.13,63.5,8.75,1060.0
402.0,3540.0,108.97,1447.0,2518.0,2318.0,147.0,1285.0,19.0,-1.13,69.03,8.82,838.71
423.0,3542.0,109.03,1449.0,2520.0,2321.0,130.0,1152.0,18.0,-1.45,73.83,8.72,646.8
415.0,3543.0,109.06,1451.0,2521.0,2340.0,136.0,1111.0,20.0,-0.8,75.77,8.7,569.17
424.0,3543.0,109.06,1449.0,2520.0,2325.0,142.0,1015.0,20.0,-0.8,80.22,8.84,391.21
413.0,3543.0,109.06,1450.0,2522.0,2340.0,146.0,846.0,19.0,-1.13,88.48,8.79,60.64
413.0,3543.0,109.06,1451.0,2521.0,2335.0,142.0,771.0,18.0,-1.45,93.49,8.77,0.0
408.0,3543.0,109.06,1451.0,2522.0,2328.0,146.0,748.0,20.0,-0.8,95.22,8.79,0.0
408.0,3542.0,109.03,1451.0,2523.0,2344.0,142.0,716.0,17.0,-1.77,96.85,8.77,0.0
409.0,3541.0,109.0,1448.0,2519.0,2333.0,146.0,690.0,20.0,-0.8,98.71,8.7,0.0
411.0,3543.0,109.06,1451.0,2521.0,2328.0,138.0,665.0,20.0,-0.8,99.8,8.75,0.0
413.0,3544.0,109.09,1452.0,2523.0,2354.0,142.0,621.0,19.0,-1.13,103.36,8.65,0.0
404.0,3541.0,109.0,1449.0,2520.0,2327.0,151.0,596.0,19.0,-1.13,105.38,8.72,0.0
402.0,3541.0,109.0,1448.0,2520.0,2339.0,143.0,533.0,20.0,-0.8,109.99,8.75,0.0
426.0,3543.0,109.06,1449.0,2521.0,2331.0,149.0,455.0,17.0,-1.77,117.88,8.77,0.0
410.0,3541.0,109.0,1449.0,2523.0,2325.0,151.0,431.0,17.0,-1.77,120.66,8.72,0.0
413.0,3542.0,109.03,1448.0,2520.0,2345.0,144.0,414.0,16.0,-2.09,122.21,8.7,0.0
410.0,3543.0,109.06,1449.0,2520.0,2338.0,140.0,401.0,17.0,-1.77,123.74,8.75,0.0
417.0,3539.0,108.94,1446.0,2518.0,2318.0,150.0,423.0,19.0,-1.13,121.88,8.75,0.0
403.0,3541.0,109.0,1450.0,2522.0,2347.0,152.0,457.0,17.0,-1.77,117.88,8.65,0.0
415.0,3543.0,109.06,1451.0,2521.0,2320.0,139.0,509.0,17.0,-1.77,111.98,8.72,0.0
413.0,3542.0,109.03,1449.0,2521.0,2337.0,144.0,552.0,17.0,-1.77,108.8,8.7,0.0
399.0,3542.0,109.03,1451.0,2522.0,2335.0,145.0,557.0,19.0,-1.13,108.57,8.79,0.0
425.0,3540.0,108.97,1448.0,2522.0,2328.0,152.0,602.0,16.0,-2.09,104.84,8.75,0.0
420.0,3543.0,109.06,1451.0,2520.0,2353.0,162.0,724.0,20.0,-0.8,96.41,8.77,0.0
412.0,3541.0,109.0,1450.0,2523.0,2334.0,145.0,823.0,21.0,-0.48,90.09,8.77,0.0
406.0,3543.0,109.06,1449.0,2520.0,2336.0,148.0,910.0,19.0,-1.13,84.7,8.7,212.2
419.0,3544.0,109.09,1450.0,2521.0,2339.0,153.0,983.0,20.0,-0.8,81.55,8.72,337.85
417.0,3542.0,109.03,1448.0,2521.0,2334.0,145.0,1044.0,19.0,-1.13,78.77,8.77,449.28
424.0,3546.0,109.15,1453.0,2524.0,2341.0,143.0,1102.0,23.0,0.16,76.2,8.72,552.0
416.0,3544.0,109.09,1452.0,2522.0,2338.0,150.0,1147.0,20.0,-0.8,74.06,8.75,637.4
429.0,3545.0,109.12,1452.0,2523.0,2338.0,155.0,1189.0,22.0,-0.16,72.64,8.75,694.48
415.0,3543.0,109.06,1449.0,2521.0,2337.0,137.0,1224.0,20.0,-0.8,71.31,8.7,747.55
410.0,3541.0,109.0,1449.0,2521.0,2336.0,151.0,1261.0,21.0,-0.48,69.98,8.7,800.6
414.0,3544.0,109.09,1449.0,2520.0,2338.0,136.0,1290.0,19.0,-1.13,68.88,8.84,844.64
406.0,3542.0,109.03,1451.0,2520.0,2337.0,137.0,1322.0,22.0,-0.16,67.76,8.7,889.63
413.0,3545.0,109.12,1451.0,2523.0,2337.0,138.0,1349.0,22.0,-0.16,66.69,8.7,932.51
402.0,3545.0,109.12,1450.0,2520.0,2336.0,132.0,1374.0,22.0,-0.16,65.63,8.72,974.7
