a0,a1,vout,a2,a3,a4,a5,a6,a7,Vin,tempS,TempP
424.0,3545.0,109.12,1448.0,2520.0,2346.0,138.0,2893.0,23.0,0.16,20.57,9.1
397.0,3541.0,109.0,1444.0,2520.0,2347.0,150.0,2893.0,25.0,0.8,20.6,9.05
430.0,3543.0,109.06,1446.0,2520.0,2345.0,151.0,2892.0,22.0,-0.16,20.57,9.07
408.0,3544.0,109.09,1448.0,2522.0,2346.0,144.0,2892.0,23.0,0.16,20.45,9.15
411.0,3542.0,109.03,1449.0,2520.0,2347.0,145.0,2895.0,26.0,1.12,20.51,9.15
418.0,3543.0,109.06,1443.0,2521.0,2349.0,139.0,2893.0,23.0,0.16,20.57,9.12
410.0,3541.0,109.0,1446.0,2524.0,2349.0,143.0,2893.0,21.0,-0.48,20.54,9.15
398.0,3542.0,109.03,1447.0,2520.0,2346.0,144.0,2892.0,24.0,0.48,20.57,9.07
414.0,3541.0,109.0,1445.0,2522.0,2349.0,138.0,2893.0,23.0,0.16,20.51,9.07
414.0,3542.0,109.03,1447.0,2522.0,2347.0,138.0,2891.0,26.0,1.12,20.66,9.22
397.0,3545.0,109.12,1451.0,2523.0,2347.0,133.0,2892.0,26.0,1.12,20.54,9.2
417.0,3541.0,109.0,1447.0,2522.0,2348.0,149.0,2893.0,24.0,0.48,20.54,9.15
410.0,3540.0,108.97,1448.0,2522.0,2349.0,151.0,2893.0,23.0,0.16,20.57,9.22
420.0,3541.0,109.0,1444.0,2519.0,2348.0,142.0,2895.0,27.0,1.44,20.54,9.12
425.0,3544.0,109.09,1447.0,2522.0,2346.0,146.0,2893.0,25.0,0.8,20.57,9.2
408.0,3545.0,109.12,1445.0,2519.0,2347.0,149.0,2893.0,24.0,0.48,20.57,9.15
410.0,3541.0,109.0,1444.0,2519.0,2346.0,143.0,2891.0,23.0,0.16,20.48,9.07
420.0,3540.0,108.97,1443.0,2519.0,2345.0,148.0,2891.0,23.0,0.16,20.51,9.12
421.0,3546.0,109.15,1447.0,2519.0,2347.0,141.0,2895.0,25.0,0.8,20.57,9.17
404.0,3543.0,109.06,1449.0,2519.0,2347.0,142.0,2895.0,26.0,1.12,20.54,9.12
408.0,3542.0,109.03,1447.0,2523.0,2348.0,148.0,2891.0,22.0,-0.16,20.51,9.15
424.0,3546.0,109.15,1447.0,2519.0,2346.0,153.0,2895.0,25.0,0.8,20.45,9.2
408.0,3540.0,108.97,1444.0,2520.0,2348.0,150.0,2895.0,26.0,1.12,20.54,9.12
413.0,3545.0,109.12,1451.0,2522.0,2347.0,133.0,2896.0,27.0,1.44,20.54,9.24
418.0,3542.0,109.03,1445.0,2520.0,2347.0,138.0,2892.0,28.0,1.76,20.6,9.12
412.0,3540.0,108.97,1446.0,2522.0,2347.0,141.0,2893.0,26.0,1.12,20.51,9.1
406.0,3544.0,109.09,1450.0,2523.0,2348.0,137.0,2892.0,25.0,0.8,20.54,9.12
418.0,3545.0,109.12,1448.0,2520.0,2346.0,146.0,2892.0,23.0,0.16,20.51,9.12
418.0,3541.0,109.0,1445.0,2521.0,2345.0,143.0,2897.0,25.0,0.8,20.48,9.12
418.0,3540.0,108.97,1444.0,2519.0,2348.0,149.0,2895.0,26.0,1.12,20.48,9.12
410.0,3542.0,109.03,1446.0,2521.0,2346.0,143.0,2891.0,27.0,1.44,20.51,9.05
406.0,3541.0,109.0,1448.0,2523.0,2347.0,147.0,2893.0,27.0,1.44,20.48,9.2
410.0,3543.0,109.06,1445.0,2522.0,2347.0,146.0,2891.0,26.0,1.12,20.51,9.15
420.0,3540.0,108.97,1443.0,2518.0,2347.0,139.0,2893.0,25.0,0.8,20.6,9.22
431.0,3542.0,109.03,1447.0,2519.0,2346.0,149.0,2891.0,23.0,0.16,20.48,9.12
417.0,3544.0,109.09,1446.0,2520.0,2346.0,142.0,2895.0,27.0,1.44,20.48,9.12
416.0,3539.0,108.94,1446.0,2522.0,2347.0,147.0,2893.0,27.0,1.44,20.45,9.2
423.0,3543.0,109.06,1447.0,2521.0,2348.0,132.0,2892.0,23.0,0.16,20.57,9.12
404.0,3542.0,109.03,1444.0,2519.0,2347.0,147.0,2894.0,27.0,1.44,20.48,9.17
419.0,3541.0,109.0,1445.0,2520.0,2347.0,144.0,2892.0,24.0,0.48,20.51,9.15
419.0,3543.0,109.06,1448.0,2520.0,2347.0,147.0,2895.0,25.0,0.8,20.54,9.03
417.0,3540.0,108.97,1444.0,2520.0,2347.0,146.0,2894.0,24.0,0.48,20.54,9.17
424.0,3539.0,108.94,1444.0,2520.0,2347.0,143.0,2896.0,28.0,1.76,20.57,9.1
406.0,3540.0,108.97,1444.0,2523.0,2347.0,149.0,2894.0,25.0,0.8,20.57,9.17
416.0,3539.0,108.94,1448.0,2520.0,2347.0,132.0,2893.0,30.0,2.41,20.54,9.17
413.0,3540.0,108.97,1443.0,2519.0,2346.0,147.0,2892.0,24.0,0.48,20.45,9.07
413.0,3541.0,109.0,1445.0,2522.0,2347.0,140.0,2895.0,27.0,1.44,20.54,9.2
409.0,3543.0,109.06,1443.0,2519.0,2346.0,144.0,2893.0,25.0,0.8,20.54,9.2
413.0,3545.0,109.12,1446.0,2519.0,2345.0,137.0,2893.0,29.0,2.09,20.6,9.12
405.0,3541.0,109.0,1445.0,2520.0,2345.0,145.0,2894.0,26.0,1.12,20.51,9.05
415.0,3542.0,109.03,1444.0,2518.0,2347.0,146.0,2896.0,27.0,1.44,20.63,9.22
422.0,3542.0,109.03,1445.0,2520.0,2348.0,146.0,2894.0,24.0,0.48,20.6,9.17
422.0,3541.0,109.0,1444.0,2519.0,2348.0,151.0,2894.0,23.0,0.16,20.48,9.15
426.0,3544.0,109.09,1447.0,2519.0,2346.0,146.0,2894.0,28.0,1.76,20.54,9.2
423.0,3544.0,109.09,1449.0,2522.0,2347.0,135.0,2893.0,26.0,1.12,20.6,9.2
414.0,3541.0,109.0,1446.0,2521.0,2347.0,149.0,2893.0,25.0,0.8,20.48,9.2
436.0,3543.0,109.06,1447.0,2520.0,2346.0,147.0,2892.0,24.0,0.48,20.48,9.1
406.0,3545.0,109.12,1447.0,2521.0,2347.0,150.0,2892.0,28.0,1.76,20.51,9.12
419.0,3544.0,109.09,1446.0,2519.0,2346.0,150.0,2893.0,27.0,1.44,20.6,9.12
408.0,3545.0,109.12,1449.0,2524.0,2348.0,142.0,2893.0,25.0,0.8,20.51,9.05
420.0,3542.0,109.03,1445.0,2519.0,2346.0,139.0,2892.0,29.0,2.09,20.6,9.17
403.0,3540.0,108.97,1445.0,2519.0,2348.0,146.0,2894.0,28.0,1.76,20.51,9.2
415.0,3541.0,109.0,1443.0,2518.0,2348.0,142.0,2894.0,25.0,0.8,20.51,9.1
407.0,3541.0,109.0,1445.0,2521.0,2347.0,143.0,2893.0,24.0,0.48,20.63,9.17
424.0,3542.0,109.03,1444.0,2520.0,2348.0,152.0,2893.0,24.0,0.48,20.54,9.17
396.0,3539.0,108.94,1448.0,2523.0,2348.0,141.0,2891.0,24.0,0.48,20.57,9.1
403.0,3539.0,108.94,1443.0,2519.0,2347.0,134.0,2894.0,26.0,1.12,20.54,9.24
395.0,3540.0,108.97,1446.0,2523.0,2347.0,137.0,2893.0,26.0,1.12,20.45,9.1
408.0,3544.0,109.09,1448.0,2521.0,2348.0,149.0,2894.0,25.0,0.8,20.57,9.07
421.0,3542.0,109.03,1447.0,2521.0,2346.0,155.0,2893.0,24.0,0.48,20.51,9.1
416.0,3541.0,109.0,1444.0,2522.0,2348.0,144.0,2894.0,28.0,1.76,20.51,9.17
408.0,3543.0,109.06,1444.0,2519.0,2347.0,148.0,2895.0,26.0,1.12,20.51,9.17
427.0,3540.0,108.97,1444.0,2519.0,2348.0,148.0,2892.0,24.0,0.48,20.57,9.07
412.0,3543.0,109.06,1446.0,2519.0,2347.0,144.0,2893.0,25.0,0.8,20.48,9.17
414.0,3542.0,109.03,1445.0,2520.0,2347.0,147.0,2892.0,24.0,0.48,20.51,9.17
418.0,3545.0,109.12,1448.0,2522.0,2350.0,141.0,2893.0,22.0,-0.16,20.57,9.17
420.0,3543.0,109.06,1446.0,2521.0,2349.0,139.0,2893.0,23.0,0.16,20.45,9.12
408.0,3540.0,108.97,1445.0,2523.0,2347.0,143.0,2891.0,28.0,1.76,20.48,9.12
422.0,3542.0,109.03,1446.0,2524.0,2349.0,146.0,2894.0,25.0,0.8,20.54,9.07
406.0,3541.0,109.0,1444.0,2522.0,2349.0,150.0,2895.0,26.0,1.12,20.63,9.07
412.0,3542.0,109.03,1445.0,2522.0,2348.0,139.0,2893.0,29.0,2.09,20.51,9.15
427.0,3546.0,109.15,1444.0,2520.0,2347.0,139.0,2894.0,25.0,0.8,20.51,9.24
410.0,3544.0,109.09,1445.0,2520.0,2349.0,142.0,2893.0,25.0,0.8,20.51,9.24
403.0,3543.0,109.06,1445.0,2520.0,2349.0,153.0,2895.0,27.0,1.44,20.51,9.1
411.0,3542.0,109.03,1448.0,2519.0,2347.0,145.0,2894.0,24.0,0.48,20.51,9.15
406.0,3543.0,109.06,1446.0,2520.0,2346.0,150.0,2896.0,27.0,1.44,20.6,9.12
416.0,3542.0,109.03,1446.0,2522.0,2347.0,134.0,2893.0,24.0,0.48,20.63,9.12
403.0,3540.0,108.97,1445.0,2521.0,2348.0,152.0,2894.0,24.0,0.48,20.45,9.22
414.0,3540.0,108.97,1443.0,2523.0,2348.0,136.0,2893.0,28.0,1.76,20.57,9.15
402.0,3543.0,109.06,1445.0,2520.0,2348.0,156.0,2895.0,26.0,1.12,20.57,9.22
417.0,3544.0,109.09,1444.0,2519.0,2347.0,146.0,2895.0,28.0,1.76,20.57,9.12
403.0,3541.0,109.0,1443.0,2520.0,2346.0,140.0,2892.0,24.0,0.48,20.48,9.15
414.0,3545.0,109.12,1449.0,2522.0,2347.0,148.0,2894.0,24.0,0.48,20.48,9.2
411.0,3539.0,108.94,1443.0,2519.0,2348.0,151.0,2895.0,27.0,1.44,20.54,9.2
416.0,3540.0,108.97,1444.0,2522.0,2349.0,151.0,2890.0,23.0,0.16,20.57,9.2
422.0,3541.0,109.0,1445.0,2521.0,2347.0,144.0,2892.0,24.0,0.48,20.6,9.1
