"Reference";"Qty";"Value";"DNP";"Exclude from BOM";"Exclude from Board";"Footprint";"Datasheet"
"R27";"1";"1K 0.1% 250mW";"";"";"";"";"https://www.mouser.fr/datasheet/2/385/SEI_RNCE-3567365.pdf"
"R29;R31";"2";"5k";"";"";"";"";"~"
"R32";"1";"47k";"";"";"";"";"~"
"R33";"1";"200k";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"R39;R41";"2";"35203R9JT";"";"";"";"Resistor_SMD:R_2512_6332Metric";"~"
"R40";"1";"220 125mW";"";"";"";"Resistor_SMD:R_0805_2012Metric";"~"
"R42";"1";"20k";"";"";"";"";"~"
"R43";"1";"100k";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"RV1;RV2;RV4;RV5";"4";"100k";"";"";"";"";"~"
"T2";"1";"Transformer_1P_2S";"";"";"";"New_Linrary:Trans_planner_buck";"~"
"T3";"1";"ELP/102/20/38 & I/102/38/20";"";"";"";"New_Linrary:ELP_102_20_38";"https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_64_10_50.pdf"
"TH1";"1";"Thermistor";"";"";"";"Resistor_SMD:R_1206_3216Metric";"~"
"TP1;TP2";"2";"TestPoint";"";"";"";"TestPoint:TestPoint_Pad_D4.0mm";"~"
"U2";"1";"PC817A";"";"";"";"New_Linrary:PC817";"http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U3";"1";"stm32F103C8T6-CH340";"";"";"";"";""
"U4";"1";"ESP32-S3-SuperMini";"";"";"";"New_Linrary:ESP32_S3_SuperMini";""
"U5";"1";"SI82394AD-IS";"";"";"";"Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm";"https://eu.mouser.com/datasheet/2/472/si8239x_data_sheet-2507466.pdf"
"U7";"1";"AMC3330";"";"";"";"Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm";"https://www.ti.com/lit/ds/symlink/amc3330.pdf"
"U8";"1";"TLV6001IDCKT";"";"";"";"Package_TO_SOT_SMD:SOT-353_SC-70-5";"http://www.ti.com/lit/ds/symlink/tlv6001.pdf"
"U9";"1";"TLV9024QDRQ1";"";"";"";"Package_SO:SOIC-14_3.9x8.7mm_P1.27mm";"https://www.ti.com/lit/ds/symlink/tlv9022-q1.pdf"
"Z2";"1";"BZT52C11-7-F";"";"";"";"BZT52C11-7-F:SOD3716X145N";"https://www.diodes.com//assets/Datasheets/ds18004.pdf"
