Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Qualification,Tradename,Packaging
726-IPW65R065C7,IPW65R065C7,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R065C7_DS_v02_00_en-1227309.pdf,30  In Stock,"=""6,10 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R065C7?qs=61g%252BPyeGH22xXZFkOyAyBQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R065C7&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""33 A""",65 mOhms,"- 20 V, + 20 V",3 V,64 nC,- 55 C,+ 150 C,171 W,Enhancement,,CoolMOS,Tube
726-IPW60R070P6XKSA1,IPW60R070P6XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R070P6_DS_v02_00_en-1227467.pdf,369  In Stock,"=""6,13 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R070P6XKSA1?qs=3Bi3m9r5MQaQ70KsujUVxA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R070P6XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""53.5 A""",63 mOhms,"- 20 V, + 20 V",3.5 V,100 nC,- 55 C,+ 150 C,391 W,Enhancement,,CoolMOS,Tube
726-IPW60R055CFD7XKS,IPW60R055CFD7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R055CFD7_DS_v02_01_EN-1731933.pdf,56  In Stock,"=""6,16 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R055CFD7XKSA1?qs=W0yvOO0ixfHfW5RxanLcng%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R055CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""38 A""",55 mOhms,"- 20 V, + 20 V",3.5 V,79 nC,- 55 C,+ 150 C,178 W,Enhancement,,,Tube
726-IPZA60R060P7XKSA,IPZA60R060P7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPZA60R060P7_DS_v02_01_EN-3362656.pdf,391  In Stock,"=""6,16 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPZA60R060P7XKSA1?qs=xhbEVWpZdWfJmPStSJ0kFw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPZA60R060P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-4,N-Channel,1 Channel,600 V,"=""48 A""",49 mOhms,"- 20 V, + 20 V",3 V,67 nC,- 55 C,+ 150 C,164 W,Enhancement,,CoolMOS,Tube
757-TK39N60WS1VF,"TK39N60W,S1VF",Toshiba,https://www.mouser.fr/datasheet/2/408/TK39N60W_datasheet_en_20131226-1140096.pdf,51  In Stock,"=""6,17 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Toshiba/TK39N60WS1VF?qs=sA3qAAQcQeG%252BKv2iCNGOfQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TK39N60W%2CS1VF&utm_content=Toshiba,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""38.8 A""",55 mOhms,"- 30 V, + 30 V",3.7 V,110 nC,- 55 C,+ 150 C,270 W,Enhancement,,DTMOSIV,Tube
757-TK39N60W5S1VF,"TK39N60W5,S1VF",Toshiba,https://www.mouser.fr/datasheet/2/408/TK39N60W5_datasheet_en_20140225-1916299.pdf,141  In Stock,"=""6,24 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Toshiba/TK39N60W5S1VF?qs=Ey7%2FXF42M3ePAqQ9OOhrBw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TK39N60W5%2CS1VF&utm_content=Toshiba,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""38.8 A""",62 mOhms,"- 30 V, + 30 V",3 V,135 nC,- 55 C,+ 150 C,270 W,Enhancement,,DTMOSIV,Tube
726-IPW65R065C7XKSA1,IPW65R065C7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R065C7_DS_v02_00_en-1227309.pdf,170  In Stock,"=""6,35 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R065C7XKSA1?qs=WkdRfq4wf1MxEujZNz8jSw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R065C7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""33 A""",58 mOhms,"- 20 V, + 20 V",3 V,64 nC,- 55 C,+ 150 C,171 W,Enhancement,,CoolMOS,Tube
757-TK31N60XS1F,"TK31N60X,S1F",Toshiba,https://www.mouser.fr/datasheet/2/408/TK31N60X_datasheet_en_20140228-1144161.pdf,46  In Stock,"=""6,37 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Toshiba/TK31N60XS1F?qs=2kOmHSv6VfS5j3wdi5LbIw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TK31N60X%2CS1F&utm_content=Toshiba,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""30.8 A""",73 mOhms,"- 30 V, + 30 V",3.5 V,65 nC,- 55 C,+ 150 C,230 W,Enhancement,,DTMOSIV-H,Tube
726-IPW65R060CFD7SA1,IPW65R060CFD7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R060CFD7_DataSheet_v02_01_EN-1901246.pdf,276  In Stock,"=""6,39 €""",,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R060CFD7XKSA1?qs=DPoM0jnrROX9Ig45gdVrrQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R060CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""36 A""",60 mOhms,"- 10 V, + 10 V",3.5 V,68 nC,- 55 C,+ 150 C,171 W,Enhancement,,,Tube
726-IPW60R037CM8XKSA,IPW60R037CM8XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R037CM8_DataSheet_v02_01_EN-3445919.pdf,541  In Stock,"=""6,40 €""",RoHS Compliant,New Product,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R037CM8XKSA1?qs=2wMNvWM5ZX6iR5SSpR9OjA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R037CM8XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""64 A""",37 mOhms,"- 20 V, + 20 V",4.7 V,79 nC,- 55 C,+ 150 C,329 W,Enhancement,,CoolMOS,Tube
