Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Technology,Mounting Style,Package/Case,Transistor Polarity,Number of Channels,Vds - Drain-Source Breakdown Voltage,Id - Continuous Drain Current,Rds On - Drain-Source Resistance,Vgs - Gate-Source Voltage,Vgs th - Gate-Source Threshold Voltage,Qg - Gate Charge,Minimum Operating Temperature,Maximum Operating Temperature,Pd - Power Dissipation,Channel Mode,Qualification,Tradename,Packaging
512-FCH067N65S3_F155,FCH067N65S3-F155,onsemi / Fairchild,https://www.onsemi.com/PowerSolutions/product.do?id=FCH067N65S3-F155,872  In Stock,"=""5,09 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/onsemi-Fairchild/FCH067N65S3-F155?qs=0lQeLiL1qyblDbVpX%2FdZeg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=FCH067N65S3-F155&utm_content=onsemi-%2F-Fairchild,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""44 A""",67 mOhms,"- 30 V, + 30 V",2.5 V,78 nC,- 55 C,+ 150 C,312 W,Enhancement,,SuperFET III,Tube
863-NVHL072N65S3,NVHL072N65S3,onsemi,https://www.onsemi.com/PowerSolutions/product.do?id=NVHL072N65S3,343  In Stock,"=""5,16 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/onsemi/NVHL072N65S3?qs=l7cgNqFNU1gCEmusphpJ0Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NVHL072N65S3&utm_content=onsemi,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""44 A""",72 mOhms,"- 30 V, + 30 V",2.5 V,82 nC,- 55 C,+ 150 C,312 W,Enhancement,AEC-Q101,SuperFET III,Tube
511-STWA48N60DM2,STWA48N60DM2,STMicroelectronics,https://www.st.com/resource/en/datasheet/stwa48n60dm2.pdf,560  In Stock,"=""5,27 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STWA48N60DM2?qs=u4fy%2FsgLU9OBNCcRV2yziA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA48N60DM2&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""40 A""",65 mOhms,"- 25 V, + 25 V",3 V,70 nC,- 55 C,+ 150 C,300 W,Enhancement,,MDmesh,Tube
863-NVHL050N65S3HF,NVHL050N65S3HF,onsemi,https://www.onsemi.com/PowerSolutions/product.do?id=NVHL050N65S3HF,564  In Stock,"=""5,30 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/onsemi/NVHL050N65S3HF?qs=W%2FMpXkg%252BdQ6QGz%2FCfzP%252BDw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NVHL050N65S3HF&utm_content=onsemi,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""58 A""",50 mOhms,"- 30 V, + 30 V",5 V,119 nC,- 55 C,+ 150 C,403 W,Enhancement,AEC-Q101,,Tube
511-STW70N60M2,STW70N60M2,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw70n60m2.pdf,802  In Stock,"=""5,38 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STW70N60M2?qs=Rlwi1sSxVL4hmaII3E%2FvIA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STW70N60M2&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""68 A""",30 mOhms,"- 25 V, + 25 V",3 V,118 nC,- 55 C,+ 150 C,450 W,Enhancement,,MDmesh,Tube
78-SIHG065N60E-GE3,SIHG065N60E-GE3,Vishay Semiconductors,https://www.vishay.com/doc?92036,2 080  In Stock,"=""5,41 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/SIHG065N60E-GE3?qs=byeeYqUIh0PYZzgSxiV7gw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG065N60E-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""40 A""",65 mOhms,"- 30 V, + 30 V",5 V,74 nC,- 55 C,+ 150 C,250 W,Enhancement,,,Tube
726-IPW60R070CFD7XKS,IPW60R070CFD7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R070CFD7_DS_v02_01_EN-1732073.pdf,3 559  In Stock,"=""5,41 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R070CFD7XKSA1?qs=xhbEVWpZdWdjqiIsmrAMfg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R070CFD7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""31 A""",57 mOhms,"- 20 V, + 20 V",3.5 V,67 nC,- 55 C,+ 150 C,156 W,Enhancement,,CoolMOS,Tube
78-SIHG73N60AE-GE3,SIHG73N60AE-GE3,Vishay Semiconductors,https://www.vishay.com/doc?91983,149  In Stock,"=""5,72 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/SIHG73N60AE-GE3?qs=7EBvPakHacXKwrnkfhz3ug%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG73N60AE-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""60 A""",35 mOhms,"- 30 V, + 30 V",4 V,394 nC,- 55 C,+ 150 C,417 W,Enhancement,,,
726-IPZ65R065C7XKSA1,IPZ65R065C7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPZ65R065C7_DS_v02_01_en-1227347.pdf,437  In Stock,"=""5,45 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPZ65R065C7XKSA1?qs=WkdRfq4wf1OkonSQjxTHyw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPZ65R065C7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-4,N-Channel,1 Channel,650 V,"=""33 A""",58 mOhms,"- 20 V, + 20 V",3 V,64 nC,- 55 C,+ 150 C,171 W,Enhancement,,CoolMOS,Tube
726-IPW60R060P7XKSA1,IPW60R060P7XKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R060P7_DS_v02_01_EN-3362717.pdf,1 063  In Stock,"=""5,51 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R060P7XKSA1?qs=HXFqYaX1Q2zGPImanxaIWw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R060P7XKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""48 A""",49 mOhms,"- 20 V, + 20 V",3 V,67 nC,- 55 C,+ 150 C,164 W,Enhancement,,CoolMOS,Tube
726-IPW65R048CFDAFKS,IPW65R048CFDAFKSA1,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW65R048CFDA_DS_v02_00_en-3362623.pdf,226  In Stock,"=""5,55 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW65R048CFDAFKSA1?qs=4MqXaUMeF55hmz3f1nxZyg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW65R048CFDAFKSA1&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""63.3 A""",43 mOhms,"- 20 V, + 20 V",3.5 V,270 nC,- 40 C,+ 150 C,500 W,Enhancement,AEC-Q100,CoolMOS,Tube
863-NTHL067N65S3H,NTHL067N65S3H,onsemi,https://www.onsemi.com/PowerSolutions/product.do?id=NTHL067N65S3H,82  In Stock,"=""5,56 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/onsemi/NTHL067N65S3H?qs=HBWAp0VN4RhjZzVYl%2F0lHQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=NTHL067N65S3H&utm_content=onsemi,Si,Through Hole,TO-247-3,N-Channel,1 Channel,650 V,"=""40 A""",67 mOhms,"- 30 V, + 30 V",4 V,80 nC,- 55 C,+ 150 C,266 W,Enhancement,,,Tube
78-SIHG47N60AE-GE3,SIHG47N60AE-GE3,Vishay Semiconductors,https://www.vishay.com/doc?91888,314  In Stock,"=""5,68 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Vishay-Semiconductors/SIHG47N60AE-GE3?qs=EBLjwc9jJJsuPL3F2ra9fw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=SIHG47N60AE-GE3&utm_content=Vishay-Semiconductors,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""43 A""",56 mOhms,"- 30 V, + 30 V",4 V,121 nC,- 55 C,+ 150 C,313 W,Enhancement,,,Tube
726-IPW60R070P6,IPW60R070P6,Infineon Technologies,https://www.mouser.fr/datasheet/2/196/Infineon_IPW60R070P6_DS_v02_00_en-1227467.pdf,304  In Stock,"=""5,74 €""",RoHS Compliant,,https://www.mouser.fr/ProductDetail/Infineon-Technologies/IPW60R070P6?qs=PRAmo2HmaolgfmZiQ%2F7yqQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=IPW60R070P6&utm_content=Infineon-Technologies,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""53.5 A""",63 mOhms,"- 20 V, + 20 V",3.5 V,100 nC,- 55 C,+ 150 C,391 W,Enhancement,,CoolMOS,Tube
511-STWA65N60DM6,STWA65N60DM6,STMicroelectronics,https://www.st.com/resource/en/datasheet/stw65n60dm6.pdf,589  In Stock,"=""5,78 €""",RoHS Compliant By Exemption,,https://www.mouser.fr/ProductDetail/STMicroelectronics/STWA65N60DM6?qs=byeeYqUIh0ORtBnZevpqfg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=STWA65N60DM6&utm_content=STMicroelectronics,Si,Through Hole,TO-247-3,N-Channel,1 Channel,600 V,"=""38 A""",71 mOhms,"- 25 V, + 25 V",3.25 V,54 nC,- 55 C,+ 150 C,250 W,Enhancement,,MDmesh,Tube
