,Mfr Part Number,Mfr.,Availability,Pricing €,Package/Case,Vds (V),Id A,Rds (mOhms),Vgs th (V),Qg (nC),Pd - Power Dissipation (W)
7,"TK31N60X,S1F",Toshiba,46  In Stock,6.37,TO-247-3,600,30.8,73,3.5,65,230
8,IPW65R060CFD7XKSA1,Infineon Technologies,276  In Stock,6.39,TO-247-3,650,36,60,3.5,68,171
9,IPW60R037CM8XKSA1,Infineon Technologies,541  In Stock,6.40,TO-247-3,600,64,37,4.7,79,329
10,IPW65R050CFD7AXKSA1,Infineon Technologies,1 388  In Stock,6.47,TO-247-3,650,45,50,4,102,227
11,STW72N60DM2AG,STMicroelectronics,468  In Stock,6.55,TO-247-3,600,66,42,4,121,446
12,STW56N60M2,STMicroelectronics,1 198  In Stock,6.56,TO-247-3,600,52,55,2,91,350
13,IPW65R075CFD7AXKSA1,Infineon Technologies,1 486  In Stock,6.61,TO-247-3,650,32,75,4.5,68,171
14,IPZ60R040C7XKSA1,Infineon Technologies,159  In Stock,6.70,TO-247-4,600,50,40,3.5,107,227
15,IPW60R045P7XKSA1,Infineon Technologies,529  In Stock,6.71,TO-247-3,650,61,45,3.5,90,201
16,SIHW47N60E-GE3,Vishay / Siliconix,480  In Stock,6.79,TO-247-3,600,47,65,4,152,379
17,STWA65N65DM2AG,STMicroelectronics,580  In Stock,6.80,TO-247-3,650,60,50,3,120,446
18,IPW65R080CFDA,Infineon Technologies,535  In Stock,6.82,TO-247-3,650,43.3,72,3.5,161,391
19,STW75N60DM6,STMicroelectronics,455  In Stock,6.89,TO-247-3,600,72,36,3.25,117,446
20,STW48NM60N,STMicroelectronics,1 186  In Stock,6.89,TO-247-3,600,39,70,2,124,255
21,FCH47N60-F133,onsemi / Fairchild,413  In Stock,6.90,TO-247-3,600,47,70,3,270,417
22,STWA75N60M6,STMicroelectronics,496  In Stock,6.92,TO-247-3,600,72,36,3.25,106,446
23,IPZ65R065C7,Infineon Technologies,221  In Stock,6.94,TO-247-4,650,33,58,3,64,171
24,IPW60R070C6,Infineon Technologies,1 227  In Stock,6.95,TO-247-3,600,53,63,2.5,170,391
