CH1,CH2,CH3,CH4,time,Ts
95.0,-0.44,-0.00036,-3.8000000000000003,0.0,2e-08
97.0,-0.4,0.0,-5.2,2e-08,
99.0,-0.4,-8e-05,-4.800000000000001,4e-08,
94.0,-0.36,-0.0002,-4.4,6.000000000000001e-08,
96.0,-0.36,-0.0002,-3.8000000000000003,8e-08,
96.0,-0.4,-0.00028000000000000003,-5.0,1e-07,
97.0,-0.3,-0.00016,-4.2,1.2000000000000002e-07,
97.0,-0.42,-0.00012000000000000002,-4.800000000000001,1.4e-07,
97.0,-0.32,-8e-05,-4.0,1.6e-07,
98.0,-0.44,-0.0002,-4.800000000000001,1.8e-07,
98.0,-0.36,-0.00032,-4.2,2e-07,
97.0,-0.34,-0.0002,-4.4,2.2e-07,
98.0,-0.42,-0.00012000000000000002,-4.2,2.4000000000000003e-07,
97.0,-0.3,-0.0002,-4.4,2.6e-07,
96.0,-0.36,-0.0002,-4.2,2.8e-07,
100.0,-0.36,-0.00016,-3.8000000000000003,3e-07,
98.0,-0.4,-0.00012000000000000002,-4.2,3.2e-07,
97.0,-0.46,0.0,-4.2,3.4000000000000003e-07,
101.0,-0.38,-0.00028000000000000003,-4.2,3.6e-07,
98.0,-0.38,-4e-05,-4.4,3.8e-07,
93.0,-0.36,-0.00012000000000000002,-4.2,4e-07,
98.0,-0.38,-0.00028000000000000003,-4.6000000000000005,4.2e-07,
100.0,-0.36,-0.00016,-5.0,4.4e-07,
99.0,-0.4,-0.00012000000000000002,-4.6000000000000005,4.6e-07,
95.0,-0.38,-0.00012000000000000002,-4.2,4.800000000000001e-07,
96.0,-0.4,-0.00016,-3.8000000000000003,5e-07,
95.0,-0.4,-0.0002,-4.4,5.2e-07,
96.0,-0.32,-0.00016,-4.0,5.4e-07,
100.0,-0.26,-0.00016,-4.2,5.6e-07,
98.0,-0.34,-4e-05,-4.2,5.800000000000001e-07,
96.0,-0.36,-4e-05,-4.0,6e-07,
94.0,-0.32,-0.00012000000000000002,-4.6000000000000005,6.2e-07,
97.0,-0.42,-0.0002,-4.0,6.4e-07,
97.0,-0.32,-4e-05,-3.4000000000000004,6.6e-07,
99.0,-0.34,-0.00028000000000000003,-4.800000000000001,6.800000000000001e-07,
95.0,-0.32,-0.00016,-4.0,7e-07,
98.0,-0.4,-8e-05,-4.0,7.2e-07,
99.0,-0.36,-0.00024000000000000003,-4.6000000000000005,7.4e-07,
97.0,-0.38,-0.00016,-5.6000000000000005,7.6e-07,
95.0,-0.38,-0.0002,-3.6,7.8e-07,
97.0,-0.36,-0.00032,-4.4,8e-07,
96.0,-0.44,-0.00024000000000000003,-4.0,8.2e-07,
100.0,-0.36,-0.00012000000000000002,-4.4,8.4e-07,
97.0,-0.4,-0.00024000000000000003,-4.2,8.6e-07,
98.0,-0.42,-0.00016,-4.0,8.8e-07,
