Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Mouser Part Number;Description;Datasheet;Height;Manufacturer part code;Manufacturer_Name;Manufacturer_Part_Number;Mouser Price/Stock;Value2;Description_1;#;Sim.Device;Sim.Pins;Field6;Field7;Field10;Field5;Manufacturer_Name ;Mouser Part Number ;Manufacturer_Name  ;Mouser Part Number  ;Manufacturer_Part_Number 
C41,C46,C62;3;EEV-FK1V471Q;;;;EEV-FK1V471Q:EEEFK0J332AQ;667-EEV-FK1V471Q;470uF 35V 20%;http://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf;15;;Panasonic;EEV-FK1V471Q;https://www.mouser.co.uk/ProductDetail/Panasonic/EEV-FK1V471Q?qs=f%252BPvLx1Hi0nmPvz1q5bc1Q%3D%3D;;;11;;;;;Cap Aluminum Lytic 470uF 35V 20% (12.5 X 13.5mm) SMD 0.06 Ohm 1100mA 2000h 105C Automotive T/R;;;;;;
C42;1;8,75115E+11;;;;CAPAE830X770N;710-875115350002;220uF 16 V;http://katalog.we-online.de/pbs/datasheet/875115350002.pdf;7.7;;Wurth Elektronik;8,75115E+11;https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/875115350002?qs=0KOYDY2FL2%252BUXz2ApdK6oA%3D%3D;;;12;;;;;Wurth Elektronik 220uF 16 V dc Aluminium Polymer Capacitor, WCAP-PSHP Series 2000h 7.7 (Dia.) x 7.55mm;;;;;;
C67;1;EFDKS60K405D032LH;;;;Capacitor_THT:C_Rect_L33.0mm_W13.0mm_P27.50mm_MKS4;504-EFDKS60K405D032L;4uF 600VDC Film;https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-efdks-film-capacitor-dc-link-data-sheet-elx1260-en.pdf;;;;EFDKS60K405D032LH;;;;13;;;;;;;Eaton Electronics;;;;
D2;1;US1J;;;;Diode_SMD:D_SMA;637-US1J;600V, 1A, 150C;https://diotec.com/request/datasheet/us1a.pdf;;;;;;;;14;D;1=K 2=A;;;;;;;;;
D3,D4,D5,D6,D7;5;MBRS340T3G;;;;MBRS340T3G:DIOM8059X261N;863-MBRS340T3G;40V 3A Schottky D;https://www.onsemi.com/pub/Collateral/MBRS340T3-D.PDF;2.61;;onsemi;MBRS340T3G;https://www.mouser.co.uk/ProductDetail/onsemi/MBRS340T3G?qs=3JMERSakeboCr3wxBgfY3w%3D%3D;;;15;;;;;;;;;;;
FL1;1;PA2756NLT;;;;PA2756NLT:PA2756NLT;673-PA2756NLT;CMC 484uH 8A;;9.91;;PULSE;PA2756NLT;https://www.mouser.co.uk/ProductDetail/Pulse-Electronics/PA2756NLT?qs=EU6FO9ffTwfuV3zHiQJj4A%3D%3D;;;16;;;;;;;;;;;
IC1,IC7;2;NCP43080DDR2G;;;;Package_SO:SOIC-8_3.9x4.9mm_P1.27mm;863-NCP43080DDR2G;Synch Driver, Sink / Source  8 A / 4 A;https://www.onsemi.com/download/data-sheet/pdf/ncp43080-d.pdf;1.75;;onsemi;NCP43080DDR2G;https://www.mouser.co.uk/ProductDetail/onsemi/NCP43080ADR2G?qs=4vGevBu%252B8qm6lzgD6nO%252B4g%3D%3D;;;17;;;;;;;;;;;
IC2;1;LT6654BIS6-2.048#TRMPBF;;;;LT6654BIS6-2.048#TRMPBF:SOT95P280X100-6N;584-6654BIS62048TMPB;Voltage Reference, 2.048V reference, 0.1 %, +/- 10ppm/C, TSOT-23-6;https://www.analog.com/media/en/technical-documentation/data-sheets/lt6654.pdf;1;;Analog Devices;;;;;18;;;;;;;;;;;
IC3;1;LM2575-3.3WU-TR;;;;LM2575-3.3WU-TR:MIC29302WU;998-LM2575-3.3WUTR;Switching Voltage Regulators;http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en579004;4;;Microchip;LM2575-3.3WU-TR;https://www.mouser.co.uk/ProductDetail/Microchip-Technology/LM2575-3.3WU-TR?qs=Y3Q3JoKAO1TNQ1s9ijuGrQ%3D%3D;;;19;;;;;;;;;;;
IC4;1;LM2575HVS-12_NOPB;;;;LM2575HVS-12_NOPB:LM2575HVS12NOPB;926-LM2575HVS12NOPB;Texas Instruments, LM2575HVS-12/NOPB Step-Down Switching Regulator 1A, 1.23  57 V, 5-Pin TO-263;http://www.ti.com/lit/gpn/lm2575hv;4.65;;Texas Instruments;LM2575HVS-12/NOPB;https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM2575HVS-12-NOPB?qs=X1J7HmVL2ZEbVPlBGj9cJQ%3D%3D;;;20;;;;;;;;;;;
